alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;1.0;1.0;0.8;99.2;12.4;29.73;16.546;55.6796390101
0.3;1.0;9.0;65.8;34.2;22.4;30.2;4.91;16.2705290068
0.3;1.0;99.0;65.2;34.8;27.6;29.59;4.868;16.3943923904
0.3;9.0;0.05;76.0;24.0;18.8;29.15;3.15;10.7871101291
0.3;9.0;0.3;50.8;49.2;22.4;29.83;6.784;22.7812481974
0.3;9.0;0.6;21.8;78.2;15.4;29.69;11.564;39.0242969358
0.3;9.0;0.9;2.6;97.4;10.2;29.57;16.06;54.2672505802
0.3;9.0;1.0;0.8;99.2;12.2;29.62;17.836;60.1543302228
0.3;9.0;9.0;30.8;69.2;10.6;29.62;9.6;32.4045902433
0.3;9.0;99.0;29.8;70.2;19.2;29.08;9.7;33.3402638062
0.3;99.0;0.05;81.2;18.8;27.0;29.9;2.59;8.65844626114
0.3;99.0;0.3;52.0;48.0;22.2;29.48;6.316;21.3989202375
0.3;99.0;0.6;21.6;78.4;18.0;29.86;10.856;36.3815019674
0.3;99.0;0.9;3.4;96.6;13.6;29.31;16.02;54.6190914102
0.3;99.0;1.0;1.2;98.8;13.2;29.19;16.74;57.3526132515
0.3;99.0;9.0;26.0;74.0;21.2;29.87;10.352;34.6520856378
0.3;99.0;99.0;37.8;62.2;19.0;29.8;8.266;27.6624281874
0.6;0.05;0.05;74.4;25.6;17.8;30.03;3.736;12.3772166673
0.6;0.05;0.3;48.0;52.0;27.8;30.23;7.124;23.554623072
0.6;0.05;0.6;15.2;84.8;21.0;29.5;12.394;42.0079019202
0.6;0.05;0.9;2.2;97.8;9.8;29.47;16.564;56.2204373259
0.6;0.05;1.0;0.4;99.6;11.0;29.63;17.724;59.8406719973
0.6;0.05;9.0;32.6;67.4;22.0;30.76;9.344;30.378180011
0.6;0.05;99.0;29.8;70.2;17.6;29.51;9.438;31.9612086334
0.6;0.3;0.05;76.4;23.6;23.4;29.8;3.58;12.0412592847
0.6;0.3;0.3;53.4;46.6;34.0;28.96;6.152;21.3094639975
0.6;0.3;0.6;27.6;72.4;11.4;30.0;10.904;36.3467959068
0.6;0.3;0.9;2.0;98.0;13.2;29.85;16.612;55.6477522629
0.6;0.3;1.0;0.8;99.2;17.4;30.12;17.98;59.6991792588
0.6;0.3;9.0;34.8;65.2;23.6;30.04;9.34;31.1055046527
0.6;0.3;99.0;35.8;64.2;18.8;29.2;9.202;31.4875004153
0.6;0.6;0.05;74.8;25.2;32.0;29.87;3.996;13.3291770767
0.6;0.6;0.3;54.8;45.2;18.8;29.84;6.56;21.9625107067
0.6;0.6;0.6;29.2;70.8;15.6;30.06;9.854;32.7774190429
0.6;0.6;0.9;12.2;87.8;8.0;29.83;14.156;47.4940795031
0.6;0.6;1.0;1.6;98.4;10.8;29.47;17.094;58.030197657
0.6;0.6;9.0;38.8;61.2;21.2;29.81;9.082;30.5200676736
0.6;0.6;99.0;39.0;61.0;23.6;30.1;8.61;28.5965551217
0.6;0.9;0.05;77.2;22.8;24.8;29.13;3.482;11.9329417128
0.6;0.9;0.3;63.8;36.2;28.8;29.39;5.206;17.695995419
0.6;0.9;0.6;45.0;55.0;24.2;28.9;7.782;26.8892051032
0.6;0.9;0.9;14.2;85.8;15.0;29.2;12.894;44.1353944762
0.6;0.9;1.0;63.2;36.8;32.4;29.97;5.212;17.3717416265
0.6;0.9;9.0;49.6;50.4;21.4;30.34;6.882;22.6349123774
0.6;0.9;99.0;47.2;52.8;28.0;30.06;7.158;23.7613499274
0.6;1.0;0.05;78.6;21.4;26.2;29.38;3.108;10.573081508
0.6;1.0;0.3;71.8;28.2;37.0;29.74;3.896;13.1118992058
0.6;1.0;0.6;63.6;36.4;34.0;29.76;5.054;17.0517103011
0.6;1.0;0.9;55.0;45.0;16.2;28.72;6.512;22.770227793
0.6;1.0;1.0;12.4;87.6;17.0;29.31;13.208;45.0658061504
0.6;1.0;9.0;65.4;34.6;23.2;30.12;4.628;15.3523642763
0.6;1.0;99.0;66.8;33.2;25.6;29.87;4.556;15.2330783719
0.6;9.0;0.05;79.0;21.0;34.2;29.86;2.82;9.38877244771
0.6;9.0;0.3;50.4;49.6;21.0;29.7;6.786;22.8038585251
0.6;9.0;0.6;18.0;82.0;19.8;29.76;11.702;39.3342087129
0.6;9.0;0.9;3.0;97.0;10.4;29.73;16.128;54.2591948321
0.6;9.0;1.0;1.4;98.6;14.4;29.71;17.548;59.0473733732
0.6;9.0;9.0;30.8;69.2;21.0;29.88;9.506;31.808613856
0.6;9.0;99.0;26.8;73.2;22.0;29.85;9.762;32.672222646
0.6;99.0;0.05;76.2;23.8;23.6;29.79;3.618;12.1006286553
0.6;99.0;0.3;51.2;48.8;20.6;29.67;6.34;21.3911582784
0.6;99.0;0.6;20.0;80.0;19.4;29.82;11.404;38.2348140666
0.6;99.0;0.9;2.0;98.0;13.8;30.57;16.174;52.8760276251
0.6;99.0;1.0;2.2;97.8;18.0;30.05;15.208;50.577547019
0.6;99.0;9.0;29.6;70.4;15.6;29.63;9.294;31.3821842227
0.6;99.0;99.0;35.2;64.8;16.2;30.2;8.834;29.2786132
0.9;0.05;0.05;78.6;21.4;31.4;30.16;3.206;10.6167853511
0.9;0.05;0.3;50.6;49.4;26.0;30.28;6.488;21.4026173767
0.9;0.05;0.6;23.4;76.6;18.6;29.7;10.87;36.5881279819
0.9;0.05;0.9;3.2;96.8;15.0;29.13;15.86;54.4599127253
0.9;0.05;1.0;0.4;99.6;16.2;29.76;16.854;56.6168512946
0.9;0.05;9.0;27.8;72.2;18.8;29.55;9.984;33.7746480154
0.9;0.05;99.0;29.8;70.2;25.2;30.15;9.814;32.5818054964
0.9;0.3;0.05;75.8;24.2;22.6;30.29;3.498;11.5363782502
0.9;0.3;0.3;58.0;42.0;28.8;29.32;5.418;18.4674343369
0.9;0.3;0.6;26.2;73.8;15.4;30.38;11.388;37.4611493075
0.9;0.3;0.9;3.4;96.6;16.8;29.42;16.24;55.1660391618
0.9;0.3;1.0;2.0;98.0;12.0;29.79;15.074;50.5678189855
0.9;0.3;9.0;33.2;66.8;31.4;30.0;9.234;30.7511840966
0.9;0.3;99.0;34.0;66.0;16.4;29.68;9.154;30.8195994013
0.9;0.6;0.05;81.0;19.0;25.4;29.4;3.03;10.3364899661
0.9;0.6;0.3;53.4;46.6;21.6;29.49;5.842;19.8327497611
0.9;0.6;0.6;30.6;69.4;21.4;30.23;10.066;33.2996895262
0.9;0.6;0.9;5.6;94.4;13.8;30.83;16.476;53.4526108984
0.9;0.6;1.0;2.4;97.6;9.6;30.58;16.816;55.0525263592
0.9;0.6;9.0;41.4;58.6;26.2;29.3;8.122;27.7433670202
0.9;0.6;99.0;42.2;57.8;19.6;29.4;8.07;27.4420525678
0.9;0.9;0.05;78.2;21.8;29.6;30.24;3.456;11.4430120584
0.9;0.9;0.3;62.6;37.4;27.8;29.97;5.246;17.4987579016
0.9;0.9;0.6;42.4;57.6;25.4;29.28;7.582;25.7943341039
0.9;0.9;0.9;23.4;76.6;25.2;29.74;11.836;39.7489325092
0.9;0.9;1.0;94.6;5.4;29.0;29.72;0.558;1.87520677083
0.9;0.9;9.0;52.8;47.2;15.2;29.97;6.974;23.2730003449
0.9;0.9;99.0;51.0;49.0;24.4;30.0;7.018;23.368142426
0.9;1.0;0.05;81.6;18.4;36.6;30.21;2.454;8.16638894797
0.9;1.0;0.3;73.0;27.0;26.6;29.77;4.122;13.8494818595
0.9;1.0;0.6;63.0;37.0;18.4;29.97;5.144;17.1373645575
0.9;1.0;0.9;58.8;41.2;32.6;30.03;5.916;19.7147556286
0.9;1.0;1.0;0.8;99.2;18.2;29.27;16.796;57.3769263357
0.9;1.0;9.0;68.0;32.0;32.6;29.66;4.582;15.5034807411
