alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;0.9;0.3;62.8;37.2;27.2;29.89;4.946;16.5477690237
0.3;0.9;0.6;37.2;62.8;16.4;29.49;8.568;29.0790402776
0.3;0.9;0.9;26.8;73.2;23.4;28.92;10.736;37.1693035852
0.3;0.9;1.0;15.6;84.4;12.6;29.6;12.158;41.0620761383
0.3;0.9;9.0;45.6;54.4;21.2;29.4;7.798;26.5246356261
0.3;0.9;99.0;41.8;58.2;15.6;29.26;8.188;27.9470986213
0.3;1.0;0.05;76.6;23.4;33.2;30.21;3.436;11.3513911762
0.3;1.0;0.3;72.8;27.2;21.4;29.67;4.026;13.5595228067
0.3;1.0;0.6;66.4;33.6;26.0;29.54;4.526;15.4277515608
0.3;1.0;0.9;49.4;50.6;16.8;29.42;8.03;27.3233116192
0.3;1.0;1.0;33.4;66.6;21.0;29.99;11.24;37.3332042489
0.3;1.0;9.0;67.2;32.8;22.4;30.01;4.478;15.0007743229
0.3;1.0;99.0;67.0;33.0;21.8;30.03;4.458;14.8375708908
0.3;9.0;0.05;76.6;23.4;20.0;30.23;3.346;11.0735962108
0.3;9.0;0.3;51.4;48.6;23.0;29.47;6.112;20.7188173455
0.3;9.0;0.6;19.6;80.4;15.2;29.78;11.078;37.2007586793
0.3;9.0;0.9;2.4;97.6;10.0;29.16;16.49;56.547475021
0.3;9.0;1.0;0.8;99.2;18.2;29.74;17.008;57.1962419051
0.3;9.0;9.0;27.2;72.8;20.8;30.44;10.294;33.7980633632
0.3;9.0;99.0;30.0;70.0;16.0;29.78;9.456;31.7996857421
0.3;99.0;0.05;76.4;23.6;24.2;30.4;3.434;11.3167827986
0.3;99.0;0.3;50.4;49.6;29.6;30.14;6.664;22.075494802
0.3;99.0;0.6;21.6;78.4;14.8;29.03;11.402;39.2848624786
0.3;99.0;0.9;3.0;97.0;18.2;30.08;16.456;54.7092674124
0.3;99.0;1.0;0.8;99.2;11.8;29.85;17.496;58.6275594212
0.3;99.0;9.0;27.2;72.8;15.4;29.66;9.948;33.5936974346
0.3;99.0;99.0;26.6;73.4;23.6;29.55;9.944;33.5807167501
0.6;0.05;0.05;77.0;23.0;29.2;30.05;3.378;11.1771734863
0.6;0.05;0.3;49.6;50.4;21.2;30.14;7.0;23.2343368546
0.6;0.05;0.6;20.0;80.0;17.2;29.41;11.154;37.9054685587
0.6;0.05;0.9;3.0;97.0;13.0;29.65;15.788;53.2751959123
0.6;0.05;1.0;1.2;98.8;12.8;29.55;15.886;53.7416970374
0.6;0.05;9.0;27.6;72.4;17.6;29.49;9.914;33.6127948901
0.6;0.05;99.0;29.6;70.4;21.8;30.48;10.264;33.625275349
0.6;0.3;0.05;76.0;24.0;27.4;29.11;3.18;10.9374059016
0.6;0.3;0.3;55.4;44.6;31.4;30.53;6.024;19.7475696409
0.6;0.3;0.6;24.4;75.6;18.0;29.43;11.05;37.5670503081
0.6;0.3;0.9;4.2;95.8;18.2;30.25;15.948;52.7233373002
0.6;0.3;1.0;0.2;99.8;15.6;30.23;18.162;60.0691211641
0.6;0.3;9.0;33.0;67.0;19.6;30.04;9.9;32.9437718468
0.6;0.3;99.0;31.8;68.2;21.6;29.8;9.464;31.7427819814
0.6;0.6;0.05;76.0;24.0;25.0;30.25;3.534;11.6797059491
0.6;0.6;0.3;58.8;41.2;36.0;29.52;5.312;17.9699666835
0.6;0.6;0.6;32.4;67.6;18.8;29.66;9.566;32.2612922266
0.6;0.6;0.9;8.2;91.8;15.4;31.2;15.516;49.7745097394
0.6;0.6;1.0;1.2;98.8;15.4;29.63;16.854;56.8919765108
0.6;0.6;9.0;38.0;62.0;18.8;30.28;8.232;27.1935267989
0.6;0.6;99.0;40.0;60.0;22.8;30.05;8.68;28.867274203
0.6;0.9;0.05;76.4;23.6;33.0;29.8;3.104;10.4450497694
0.6;0.9;0.3;66.0;34.0;36.4;30.08;4.33;14.3862649249
0.6;0.9;0.6;43.8;56.2;16.8;29.76;8.276;27.695265177
0.6;0.9;0.9;26.8;73.2;18.6;29.77;11.714;39.0564868992
0.6;0.9;1.0;16.0;84.0;20.0;29.47;11.66;39.49270467
0.6;0.9;9.0;47.0;53.0;23.4;29.81;7.18;24.0827705593
0.6;0.9;99.0;47.6;52.4;23.4;30.39;7.452;24.5305880675
0.6;1.0;0.05;80.4;19.6;31.2;29.8;3.042;10.2090777505
0.6;1.0;0.3;72.0;28.0;19.8;29.88;3.864;12.9369244168
0.6;1.0;0.6;63.6;36.4;24.8;29.58;5.074;17.1362200672
0.6;1.0;0.9;55.0;45.0;25.6;29.84;6.49;21.7838851705
0.6;1.0;1.0;13.2;86.8;13.6;29.44;12.854;43.6617860297
0.6;1.0;9.0;65.2;34.8;27.0;29.35;4.762;16.2551800516
0.6;1.0;99.0;63.4;36.6;28.0;29.93;5.536;18.5333808487
0.6;9.0;0.05;74.0;26.0;25.6;30.36;3.784;12.5181827341
0.6;9.0;0.3;51.8;48.2;17.8;29.26;6.03;20.6518080125
0.6;9.0;0.6;15.6;84.4;14.6;29.98;12.702;42.3408150352
0.6;9.0;0.9;3.8;96.2;27.0;29.76;15.704;52.7716185278
0.6;9.0;1.0;0.6;99.4;10.6;29.62;17.792;60.0373738223
0.6;9.0;9.0;31.6;68.4;19.0;29.32;9.146;31.1978312515
0.6;9.0;99.0;29.6;70.4;25.8;29.63;9.968;33.6810452845
0.6;99.0;0.05;73.6;26.4;30.0;30.08;3.516;11.6828254119
0.6;99.0;0.3;53.2;46.8;28.6;29.42;6.464;21.9666106245
0.6;99.0;0.6;18.2;81.8;19.0;30.5;11.886;38.9907503616
0.6;99.0;0.9;3.2;96.8;11.0;29.05;15.726;54.1603153827
0.6;99.0;1.0;0.8;99.2;13.8;29.46;16.934;57.4337067365
0.6;99.0;9.0;30.4;69.6;18.2;29.83;10.144;33.9999375243
0.6;99.0;99.0;27.6;72.4;20.2;30.35;10.394;34.1709159922
0.9;0.05;0.05;75.2;24.8;30.0;29.65;3.464;11.6631545766
0.9;0.05;0.3;53.2;46.8;21.6;28.98;6.114;21.1686987039
0.9;0.05;0.6;18.8;81.2;17.4;29.81;11.648;39.0619874334
0.9;0.05;0.9;1.6;98.4;14.8;29.6;17.188;58.033884101
0.9;0.05;1.0;1.0;99.0;16.0;29.24;15.158;51.8448221426
0.9;0.05;9.0;28.8;71.2;22.2;29.81;10.196;34.2087923266
0.9;0.05;99.0;28.8;71.2;20.2;30.41;9.584;31.4821528118
0.9;0.3;0.05;76.0;24.0;30.0;29.86;3.728;12.4720095837
0.9;0.3;0.3;53.4;46.6;25.2;29.76;6.508;21.8724444175
0.9;0.3;0.6;27.2;72.8;20.0;29.86;10.406;34.8383892584
0.9;0.3;0.9;8.4;91.6;13.2;29.84;15.454;51.6710551217
0.9;0.3;1.0;1.0;99.0;16.4;29.84;17.396;58.3139345503
0.9;0.3;9.0;32.4;67.6;25.0;30.04;9.706;32.2956379516
0.9;0.3;99.0;36.0;64.0;18.8;29.94;8.794;29.4124943034
0.9;0.6;0.05;78.4;21.6;37.0;29.79;3.088;10.3592721072
0.9;0.6;0.3;58.8;41.2;24.2;29.92;6.048;20.187044831
0.9;0.6;0.6;30.4;69.6;20.8;29.91;10.61;35.4796199874
0.9;0.6;0.9;8.2;91.8;15.0;30.0;14.838;49.4138577859
0.9;0.6;1.0;0.8;99.2;16.6;29.98;17.114;57.1165862628
0.9;0.6;9.0;43.6;56.4;21.2;29.97;8.096;27.025244815
0.9;0.6;99.0;41.0;59.0;31.6;29.9;8.378;27.9699944686
0.9;0.9;0.05;79.0;21.0;27.0;29.3;3.124;10.6142016942
0.9;0.9;0.3;63.8;36.2;29.0;30.01;5.21;17.397104948
0.9;0.9;0.6;43.2;56.8;20.6;29.82;8.13;27.2743479306
0.9;0.9;0.9;28.6;71.4;21.4;29.29;10.658;36.2457063088
0.9;0.9;1.0;6.4;93.6;11.0;29.63;15.864;53.5233115033
0.9;0.9;9.0;52.6;47.4;16.8;30.25;7.258;23.9874661392
0.9;0.9;99.0;51.6;48.4;28.8;29.8;6.752;22.5402411024
0.9;1.0;0.05;75.6;24.4;25.0;30.31;3.948;13.0342941285
0.9;1.0;0.3;75.0;25.0;27.0;29.76;3.588;12.0542424291
0.9;1.0;0.6;65.4;34.6;22.0;29.52;4.576;15.4868012441
0.9;1.0;0.9;66.8;33.2;31.0;29.98;4.928;16.4052576363
0.9;1.0;1.0;9.2;90.8;19.2;29.4;15.016;51.0332601921
0.9;1.0;9.0;66.6;33.4;28.0;30.15;5.094;16.9073742795
0.9;1.0;99.0;66.0;34.0;20.2;29.44;4.316;14.631671336
0.9;9.0;0.05;77.0;23.0;34.8;29.85;3.062;10.2047107079
0.9;9.0;0.3;51.8;48.2;28.6;29.89;6.46;21.6425684775
0.9;9.0;0.6;19.2;80.8;22.8;30.05;11.368;37.803022158
0.9;9.0;0.9;2.4;97.6;11.6;29.85;15.908;53.3084272095
0.9;9.0;1.0;0.4;99.6;8.8;30.2;18.246;60.3866049898
0.9;9.0;9.0;28.2;71.8;16.6;29.47;9.398;31.8568974774
0.9;9.0;99.0;24.8;75.2;15.4;29.64;10.112;34.1173390484
0.9;99.0;0.05;74.0;26.0;30.0;30.82;3.822;12.4199458791
0.9;99.0;0.3;54.0;46.0;20.2;29.19;6.114;20.8986646486
0.9;99.0;0.6;23.4;76.6;17.4;29.19;10.414;35.6835967371
0.9;99.0;0.9;3.6;96.4;13.4;30.08;16.006;53.2011962446
0.9;99.0;1.0;0.6;99.4;12.8;30.08;16.188;53.8127636266
0.9;99.0;9.0;28.6;71.4;14.4;30.0;10.382;34.6013708926
0.9;99.0;99.0;31.6;68.4;17.4;28.62;8.81;30.8026853497
1.0;0.05;0.05;79.0;21.0;37.0;29.52;2.822;9.56360612618
1.0;0.05;0.3;49.8;50.2;19.6;29.51;6.044;20.463811736
1.0;0.05;0.6;18.8;81.2;11.8;29.71;11.808;39.8187223937
1.0;0.05;0.9;2.6;97.4;12.4;30.05;16.826;55.9614754868
1.0;0.05;1.0;0.4;99.6;13.8;30.54;18.044;59.0773804614
1.0;0.05;9.0;28.2;71.8;15.8;28.89;9.298;32.1401677733
1.0;0.05;99.0;25.8;74.2;15.6;29.28;9.992;34.1428469711
1.0;0.3;0.05;75.4;24.6;24.0;29.89;3.644;12.2304659973
1.0;0.3;0.3;53.4;46.6;21.6;29.69;6.028;20.2991509757
1.0;0.3;0.6;24.4;75.6;22.4;30.54;10.804;35.3431573434
1.0;0.3;0.9;3.8;96.2;14.6;29.58;16.43;55.5076482223
1.0;0.3;1.0;1.8;98.2;12.6;30.58;18.172;59.4151885126
1.0;0.3;9.0;33.2;66.8;21.2;30.43;9.342;30.6701323495
1.0;0.3;99.0;36.2;63.8;18.6;29.39;8.498;28.9067091282
1.0;0.6;0.05;75.8;24.2;26.0;29.45;3.698;12.5360117737
1.0;0.6;0.3;58.4;41.6;22.2;29.11;5.57;19.0853492073
1.0;0.6;0.6;33.4;66.6;22.0;29.67;9.58;32.2775853633
1.0;0.6;0.9;11.0;89.0;20.4;29.66;14.378;48.4950854814
1.0;0.6;1.0;2.0;98.0;12.0;29.98;17.97;59.9501838325
1.0;0.6;9.0;45.0;55.0;17.6;29.17;7.284;24.9747388306
1.0;0.6;99.0;41.6;58.4;25.8;29.76;8.494;28.5177619798
1.0;0.9;0.05;80.2;19.8;24.2;29.48;3.022;10.2893995336
1.0;0.9;0.3;66.2;33.8;22.0;29.62;4.864;16.420494072
1.0;0.9;0.6;53.6;46.4;29.0;30.16;6.564;21.7629557278
1.0;0.9;0.9;30.6;69.4;16.2;30.0;11.024;36.7757056698
1.0;0.9;1.0;1.2;98.8;13.8;30.27;17.802;58.7866936519
1.0;0.9;9.0;52.4;47.6;22.4;29.98;6.698;22.3413836195
1.0;0.9;99.0;56.8;43.2;31.0;30.42;6.096;20.051664678
1.0;1.0;0.05;79.6;20.4;27.0;29.41;2.978;10.1291999888
1.0;1.0;0.3;69.8;30.2;22.6;30.13;4.61;15.2141447891
1.0;1.0;0.6;67.4;32.6;20.0;30.11;4.372;14.5100022921
1.0;1.0;0.9;72.2;27.8;26.8;29.98;4.624;15.4301457054
1.0;1.0;1.0;2.6;97.4;11.4;29.84;16.682;55.9340670443
1.0;1.0;9.0;67.2;32.8;25.6;30.54;4.932;16.147990727
1.0;1.0;99.0;70.2;29.8;31.0;30.3;4.566;15.0436698443
1.0;9.0;0.05;74.0;26.0;24.4;30.06;3.562;11.7998578732
1.0;9.0;0.3;55.8;44.2;22.8;30.27;6.478;21.4179132924
1.0;9.0;0.6;17.6;82.4;13.4;29.01;11.482;39.5523193665
1.0;9.0;0.9;3.4;96.6;13.4;30.2;16.23;53.76711023
1.0;9.0;1.0;0.6;99.4;16.4;29.44;16.64;56.5805146587
1.0;9.0;9.0;28.2;71.8;26.4;29.98;10.002;33.3298611551
1.0;9.0;99.0;28.6;71.4;25.6;29.48;9.57;32.4320455121
