alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;74.2;25.8;22.2;29.44;3.986;13.5382408407
0.05;0.05;0.3;58.0;42.0;19.2;29.73;5.636;18.915773744
0.05;0.05;0.6;23.8;76.2;15.6;30.03;10.826;36.1022508057
0.05;0.05;0.9;6.8;93.2;9.0;29.93;15.918;53.2508392176
0.05;0.05;1.0;97.6;2.4;32.0;30.6;0.324;1.05545051187
0.05;0.05;9.0;28.6;71.4;19.8;30.02;9.802;32.6343891104
0.05;0.05;99.0;31.2;68.8;14.0;29.5;9.3;31.5210719067
0.05;0.3;0.05;74.8;25.2;23.2;29.57;4.182;14.1314158058
0.05;0.3;0.3;53.4;46.6;23.6;29.79;6.158;20.6270080177
0.05;0.3;0.6;25.8;74.2;13.8;29.97;9.932;33.1721951288
0.05;0.3;0.9;17.2;82.8;17.2;30.3;12.692;41.971611194
0.05;0.3;1.0;5.0;95.0;11.0;30.26;15.69;51.898292115
0.05;0.3;9.0;36.8;63.2;18.2;29.87;8.43;28.2142646879
0.05;0.3;99.0;34.4;65.6;17.6;30.01;9.004;29.9567470272
0.05;0.6;0.05;74.2;25.8;27.0;30.26;4.024;13.3152678007
0.05;0.6;0.3;57.0;43.0;19.6;29.56;6.2;21.0060566729
0.05;0.6;0.6;38.4;61.6;15.0;29.5;9.076;30.7009769707
0.05;0.6;0.9;19.0;81.0;16.4;29.34;12.306;42.0651477141
0.05;0.6;1.0;99.2;0.8;31.0;29.61;0.234;0.760975609756
0.05;0.6;9.0;49.2;50.8;16.0;29.4;6.798;23.1448504851
0.05;0.6;99.0;46.6;53.4;24.4;29.81;7.248;24.2800250817
0.05;0.9;0.05;75.0;25.0;26.0;29.83;3.586;12.0284412446
0.05;0.9;0.3;58.0;42.0;15.0;29.6;5.632;18.9675228063
0.05;0.9;0.6;39.4;60.6;17.6;29.42;8.444;28.6491845546
0.05;0.9;0.9;38.2;61.8;16.8;29.74;8.538;28.8086058299
0.05;0.9;1.0;16.6;83.4;24.2;30.38;12.06;39.6701667204
0.05;0.9;9.0;46.4;53.6;26.0;29.32;7.048;24.0539185401
0.05;0.9;99.0;47.2;52.8;23.8;30.07;7.662;25.5231643606
0.05;1.0;0.05;77.6;22.4;32.0;30.0;3.336;11.1199704071
0.05;1.0;0.3;61.2;38.8;24.2;29.79;5.226;17.574550531
0.05;1.0;0.6;50.6;49.4;21.6;29.71;6.376;21.4466108509
0.05;1.0;0.9;20.2;79.8;19.6;30.23;12.2;40.3347783447
0.05;1.0;1.0;75.6;24.4;26.0;30.11;3.298;10.9421985583
0.05;1.0;9.0;63.2;36.8;30.2;30.31;5.422;17.8048045945
0.05;1.0;99.0;40.2;59.8;22.0;30.03;7.83;26.0515991313
0.05;9.0;0.05;73.8;26.2;32.0;29.7;3.584;12.0628396279
0.05;9.0;0.3;60.4;39.6;27.4;30.45;5.75;18.8680265057
0.05;9.0;0.6;38.0;62.0;23.0;29.81;9.492;31.8534272765
0.05;9.0;0.9;15.2;84.8;14.6;29.75;13.448;45.1617544683
0.05;9.0;1.0;99.8;0.2;31.0;29.44;0.058;0.193011647255
0.05;9.0;9.0;47.4;52.6;18.8;30.15;7.456;24.8364987414
0.05;9.0;99.0;46.8;53.2;15.2;29.43;7.166;24.3776762048
0.05;99.0;0.05;75.4;24.6;22.8;29.57;3.734;12.6124030322
0.05;99.0;0.3;56.8;43.2;20.8;30.17;5.942;19.719856392
0.05;99.0;0.6;48.4;51.6;24.6;29.86;7.12;23.7541434886
0.05;99.0;0.9;49.2;50.8;26.6;29.7;7.196;24.2352817022
0.05;99.0;1.0;19.2;80.8;12.8;30.05;13.054;43.2089499485
0.05;99.0;9.0;47.6;52.4;28.2;29.98;6.942;23.1011232471
0.05;99.0;99.0;43.2;56.8;27.6;29.93;8.36;27.8754912242
0.3;0.05;0.05;75.8;24.2;27.0;29.89;3.512;11.7630256879
0.3;0.05;0.3;52.0;48.0;21.4;29.33;6.04;20.5774412974
0.3;0.05;0.6;20.4;79.6;19.4;29.53;10.682;36.18539138
0.3;0.05;0.9;5.4;94.6;13.0;30.32;16.206;53.4515335235
0.3;0.05;1.0;5.6;94.4;11.2;30.09;16.112;53.5458512461
0.3;0.05;9.0;30.6;69.4;27.2;30.39;9.972;32.7716285067
0.3;0.05;99.0;31.8;68.2;27.8;29.85;9.754;32.6414997924
0.3;0.3;0.05;74.6;25.4;25.2;29.26;3.212;10.9569405078
0.3;0.3;0.3;54.2;45.8;25.2;29.39;6.304;21.4433731613
0.3;0.3;0.6;21.6;78.4;17.2;29.74;11.33;38.0853485528
0.3;0.3;0.9;7.2;92.8;12.2;30.06;15.332;50.9470930747
0.3;0.3;1.0;99.8;0.2;27.0;29.72;0.058;0.195945945946
0.3;0.3;9.0;32.8;67.2;17.4;29.65;9.178;30.9643123482
0.3;0.3;99.0;30.6;69.4;12.2;29.75;9.86;33.1324613389
0.3;0.6;0.05;78.2;21.8;24.0;29.46;3.014;10.2154352986
0.3;0.6;0.3;57.6;42.4;23.0;29.6;5.588;18.8757619464
0.3;0.6;0.6;37.4;62.6;15.4;29.87;9.506;31.7919564981
0.3;0.6;0.9;7.6;92.4;9.0;29.37;14.902;50.716208822
0.3;0.6;1.0;62.2;37.8;20.8;30.07;7.236;24.0957299465
0.3;0.6;9.0;41.6;58.4;26.6;30.47;8.696;28.5298957744
0.3;0.6;99.0;39.8;60.2;25.8;30.57;8.596;28.1491053002
0.3;0.9;0.05;79.2;20.8;19.8;29.69;3.116;10.4880476134
0.3;0.9;0.3;61.6;38.4;27.8;29.71;5.174;17.3955222938
0.3;0.9;0.6;42.2;57.8;16.0;29.37;8.306;28.3596227896
0.3;0.9;0.9;23.4;76.6;19.0;30.42;12.692;41.7183834389
0.3;0.9;1.0;66.0;34.0;21.8;29.59;5.65;19.077613754
0.3;0.9;9.0;47.8;52.2;14.6;29.78;7.744;26.0093954526
0.3;0.9;99.0;45.6;54.4;22.2;30.55;8.066;26.4024074387
0.3;1.0;0.05;75.8;24.2;27.2;29.81;3.434;11.4769326479
0.3;1.0;0.3;76.8;23.2;24.6;28.87;3.562;12.1672053268
0.3;1.0;0.6;58.0;42.0;25.4;29.96;5.828;19.4414268933
0.3;1.0;0.9;36.8;63.2;26.0;29.93;9.206;30.7553394887
0.3;1.0;1.0;34.4;65.6;21.6;30.28;7.472;24.6717864314
0.3;1.0;9.0;69.4;30.6;36.0;30.36;4.426;14.5709237846
0.3;1.0;99.0;66.8;33.2;25.6;29.64;4.336;14.6250903536
0.3;9.0;0.05;77.6;22.4;34.0;29.87;3.462;11.5238126473
0.3;9.0;0.3;66.8;33.2;28.0;29.55;4.538;15.3106828654
0.3;9.0;0.6;45.0;55.0;25.8;29.89;7.334;24.5848539715
0.3;9.0;0.9;14.0;86.0;16.8;29.89;13.722;45.9217490619
0.3;9.0;1.0;40.6;59.4;17.8;29.83;8.396;28.1227406816
0.3;9.0;9.0;50.4;49.6;28.0;30.14;6.486;21.6144623641
0.3;9.0;99.0;50.6;49.4;20.4;30.16;6.558;21.7613384131
0.3;99.0;0.05;78.0;22.0;26.4;29.71;3.164;10.6452847592
0.3;99.0;0.3;64.4;35.6;33.2;29.86;5.122;17.1808873306
0.3;99.0;0.6;43.8;56.2;20.4;29.64;7.886;26.6051731346
0.3;99.0;0.9;23.8;76.2;17.2;30.41;11.958;39.190402565
0.3;99.0;1.0;9.2;90.8;11.6;29.66;15.646;52.8242537665
0.3;99.0;9.0;46.8;53.2;18.8;29.32;6.928;23.5842425904
0.3;99.0;99.0;52.0;48.0;21.8;29.76;7.246;24.2844412046
0.6;0.05;0.05;77.0;23.0;29.4;30.03;3.182;10.6218880214
0.6;0.05;0.3;52.8;47.2;17.4;29.93;6.558;21.8936631355
0.6;0.05;0.6;20.8;79.2;17.8;29.24;11.42;39.0854676457
0.6;0.05;0.9;2.6;97.4;20.0;29.64;16.108;54.3483307361
0.6;0.05;1.0;99.4;0.6;36.0;30.71;0.158;0.513612465993
0.6;0.05;9.0;30.2;69.8;18.8;30.03;9.37;31.2581458379
0.6;0.05;99.0;25.6;74.4;27.0;29.75;10.198;34.2718956879
0.6;0.3;0.05;75.2;24.8;29.0;30.05;3.814;12.6836386801
0.6;0.3;0.3;53.2;46.8;23.6;29.84;6.3;21.1026656846
0.6;0.3;0.6;22.6;77.4;20.8;29.89;11.106;37.136749138
0.6;0.3;0.9;4.6;95.4;11.0;29.0;15.476;53.3782118934
0.6;0.3;1.0;52.0;48.0;26.8;29.7;7.97;26.7642108259
0.6;0.3;9.0;40.6;59.4;21.2;29.6;7.854;26.5353416825
0.6;0.3;99.0;34.8;65.2;17.2;29.04;8.792;30.2841243118
0.6;0.6;0.05;74.4;25.6;22.6;29.86;4.084;13.6790218411
0.6;0.6;0.3;53.4;46.6;21.0;29.99;6.708;22.3436114987
0.6;0.6;0.6;32.2;67.8;32.0;30.34;9.702;31.9592010787
0.6;0.6;0.9;10.6;89.4;16.2;29.91;14.252;47.6195246707
0.6;0.6;1.0;68.0;32.0;24.6;29.63;5.886;19.90373278
0.6;0.6;9.0;39.8;60.2;18.4;29.95;8.606;28.7436745999
0.6;0.6;99.0;39.2;60.8;29.8;30.64;8.862;28.8895624548
0.6;0.9;0.05;74.6;25.4;21.0;29.86;3.71;12.4029338254
0.6;0.9;0.3;59.0;41.0;26.4;29.94;5.514;18.4196172302
0.6;0.9;0.6;43.4;56.6;28.6;29.89;8.098;27.1165557981
0.6;0.9;0.9;18.2;81.8;15.2;29.06;12.52;43.1596682778
0.6;0.9;1.0;2.8;97.2;15.4;29.82;15.602;52.350015856
0.6;0.9;9.0;48.6;51.4;26.2;29.66;7.172;24.1542011132
0.6;0.9;99.0;49.6;50.4;20.6;29.41;6.994;23.756586174
0.6;1.0;0.05;78.6;21.4;34.6;29.43;3.188;10.8606046484
0.6;1.0;0.3;71.4;28.6;25.0;30.32;4.84;15.969935496
