alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;0.9;0.3;62.4;37.6;29.4;29.76;5.408;18.131074095
0.3;0.9;0.6;38.4;61.6;19.8;29.74;9.226;30.9657331855
0.3;0.9;0.9;16.2;83.8;13.0;30.36;13.864;45.6478860205
0.3;0.9;1.0;99.4;0.6;29.0;29.78;0.148;0.503148292229
0.3;0.9;9.0;43.8;56.2;14.8;29.12;7.488;25.6014735961
0.3;0.9;99.0;41.6;58.4;18.2;29.64;7.992;26.9832934585
0.3;1.0;0.05;76.4;23.6;25.4;29.41;3.444;11.6199670093
0.3;1.0;0.3;71.4;28.6;38.0;29.53;4.012;13.5886355824
0.3;1.0;0.6;60.8;39.2;28.2;29.75;5.592;18.7543826098
0.3;1.0;0.9;50.8;49.2;27.8;30.57;7.508;24.584706598
0.3;1.0;1.0;37.2;62.8;16.2;29.1;9.07;31.1729421305
0.3;1.0;9.0;66.2;33.8;30.8;29.77;4.498;15.1976524113
0.3;1.0;99.0;68.2;31.8;20.0;29.05;4.072;14.0038964074
0.3;9.0;0.05;77.0;23.0;25.4;30.76;3.734;12.1210140643
0.3;9.0;0.3;64.4;35.6;28.0;30.15;4.978;16.5077249197
0.3;9.0;0.6;40.2;59.8;20.4;29.67;7.718;25.9719006331
0.3;9.0;0.9;13.8;86.2;13.2;30.26;13.684;45.1883827902
0.3;9.0;1.0;99.6;0.4;30.0;29.88;0.104;0.329635499208
0.3;9.0;9.0;52.4;47.6;23.0;30.14;6.904;22.9175742462
0.3;9.0;99.0;50.2;49.8;26.6;29.88;7.166;24.0028799933
0.3;99.0;0.05;76.6;23.4;29.0;29.38;3.218;10.9549138098
0.3;99.0;0.3;67.8;32.2;21.2;29.67;3.86;12.9943653267
0.3;99.0;0.6;43.4;56.6;21.0;29.74;7.962;26.7557860186
0.3;99.0;0.9;16.8;83.2;20.4;30.11;12.988;43.0360684279
0.3;99.0;1.0;99.2;0.8;27.0;29.94;0.138;0.458269852342
0.3;99.0;9.0;52.0;48.0;17.2;29.65;6.66;22.3804407575
0.3;99.0;99.0;45.6;54.4;28.0;30.03;7.526;25.0550637423
0.6;0.05;0.05;76.8;23.2;24.0;30.03;2.97;9.90620706961
0.6;0.05;0.3;54.8;45.2;21.4;29.71;5.584;18.8062477538
0.6;0.05;0.6;18.8;81.2;18.4;29.72;11.262;37.9345185176
0.6;0.05;0.9;4.2;95.8;13.6;29.89;16.338;54.6713948048
0.6;0.05;1.0;94.2;5.8;29.0;29.64;0.68;2.27812251325
0.6;0.05;9.0;30.8;69.2;22.0;30.23;10.12;33.4196064593
0.6;0.05;99.0;29.2;70.8;20.8;29.11;9.524;32.7114203752
0.6;0.3;0.05;75.6;24.4;25.8;29.67;3.44;11.6158438076
0.6;0.3;0.3;56.6;43.4;26.2;30.18;6.12;20.2782693366
0.6;0.3;0.6;22.0;78.0;27.2;29.93;11.06;36.8937374604
0.6;0.3;0.9;8.4;91.6;17.4;29.98;15.482;51.6432705857
0.6;0.3;1.0;1.8;98.2;11.4;29.82;15.816;53.0347096177
0.6;0.3;9.0;38.6;61.4;32.0;29.32;8.742;29.7954523615
0.6;0.3;99.0;33.4;66.6;22.8;29.37;9.292;31.6059142024
0.6;0.6;0.05;74.2;25.8;31.4;29.89;3.404;11.3310686766
0.6;0.6;0.3;54.8;45.2;27.2;29.78;6.186;20.7269297877
0.6;0.6;0.6;29.0;71.0;18.2;30.79;10.196;33.1295559545
0.6;0.6;0.9;9.6;90.4;18.2;30.0;14.986;49.959912751
0.6;0.6;1.0;99.2;0.8;35.0;29.8;0.146;0.492509165155
0.6;0.6;9.0;43.8;56.2;25.6;29.89;7.962;26.6390634498
0.6;0.6;99.0;39.6;60.4;19.6;30.32;8.636;28.4824293744
0.6;0.9;0.05;74.4;25.6;29.0;30.31;4.056;13.395479904
0.6;0.9;0.3;62.8;37.2;25.2;29.88;4.84;16.2185922981
0.6;0.9;0.6;42.4;57.6;17.4;29.72;7.688;25.8749944693
0.6;0.9;0.9;23.2;76.8;19.6;30.13;11.654;38.7243766446
0.6;0.9;1.0;66.2;33.8;20.8;29.87;4.734;15.8274177922
0.6;0.9;9.0;48.8;51.2;22.8;29.65;6.95;23.4492723708
0.6;0.9;99.0;47.4;52.6;27.8;29.74;7.306;24.5707814882
0.6;1.0;0.05;79.6;20.4;22.4;30.15;3.024;9.99308003987
0.6;1.0;0.3;70.8;29.2;20.0;29.83;4.314;14.4705079298
0.6;1.0;0.6;68.2;31.8;21.8;29.28;3.79;12.9547738919
0.6;1.0;0.9;62.6;37.4;30.0;29.67;6.16;20.7300691033
0.6;1.0;1.0;55.6;44.4;27.2;30.19;6.192;20.5042533281
0.6;1.0;9.0;67.4;32.6;26.6;29.97;4.368;14.553167472
0.6;1.0;99.0;64.6;35.4;24.8;30.06;4.808;15.9376177001
0.6;9.0;0.05;81.2;18.8;30.0;29.48;2.712;9.20524395366
0.6;9.0;0.3;72.2;27.8;18.6;29.76;3.974;13.2935418399
0.6;9.0;0.6;54.2;45.8;20.4;30.09;6.224;20.7373186448
0.6;9.0;0.9;13.2;86.8;17.2;28.73;12.712;44.2265701117
0.6;9.0;1.0;98.8;1.2;34.0;29.92;0.302;1.03741347586
0.6;9.0;9.0;66.6;33.4;25.0;29.89;4.618;15.4608342415
0.6;9.0;99.0;64.4;35.6;27.0;29.24;5.046;17.2504511604
0.6;99.0;0.05;78.2;21.8;30.0;29.57;3.382;11.407888672
0.6;99.0;0.3;66.2;33.8;20.8;30.04;4.784;15.9280208002
0.6;99.0;0.6;52.6;47.4;27.8;29.76;6.254;20.9940004657
0.6;99.0;0.9;14.2;85.8;19.8;29.81;13.524;45.3792342936
0.6;99.0;1.0;58.4;41.6;27.0;29.58;6.16;20.7880747093
0.6;99.0;9.0;61.4;38.6;22.0;29.89;5.182;17.3312214765
0.6;99.0;99.0;62.8;37.2;30.8;29.24;4.542;15.5079814967
0.9;0.05;0.05;74.0;26.0;29.0;29.73;3.456;11.6473200898
0.9;0.05;0.3;46.6;53.4;21.4;29.13;6.626;22.7277232901
0.9;0.05;0.6;17.2;82.8;15.0;30.11;12.07;40.0599537628
0.9;0.05;0.9;2.6;97.4;16.0;29.49;16.26;55.1413492479
0.9;0.05;1.0;64.0;36.0;30.0;29.57;6.034;20.4223093924
0.9;0.05;9.0;32.8;67.2;19.6;29.48;9.116;30.9439098153
0.9;0.05;99.0;31.4;68.6;21.6;29.37;9.508;32.391738019
0.9;0.3;0.05;74.4;25.6;21.8;29.9;4.068;13.5397679134
0.9;0.3;0.3;55.2;44.8;20.6;29.98;6.182;20.5985350912
0.9;0.3;0.6;22.6;77.4;13.6;29.37;11.02;37.5451284862
0.9;0.3;0.9;5.8;94.2;17.0;29.57;15.282;51.6960802177
0.9;0.3;1.0;100.0;0.0;34.0;30.19;0.0;0.0
0.9;0.3;9.0;33.0;67.0;20.0;30.06;9.598;31.9029226847
0.9;0.3;99.0;33.0;67.0;21.8;30.24;9.296;30.688525718
0.9;0.6;0.05;76.2;23.8;32.0;29.88;3.55;11.9242990456
0.9;0.6;0.3;57.4;42.6;15.6;29.57;5.292;17.9048524667
0.9;0.6;0.6;31.2;68.8;19.4;29.32;9.846;33.5793748226
0.9;0.6;0.9;8.2;91.8;19.6;29.24;13.992;47.8681438306
0.9;0.6;1.0;97.4;2.6;23.6;29.64;0.254;0.841492281117
0.9;0.6;9.0;39.8;60.2;17.8;29.51;8.696;29.4751426634
0.9;0.6;99.0;36.0;64.0;16.6;29.81;9.336;31.3553698545
0.9;0.9;0.05;76.8;23.2;28.4;29.88;3.328;10.9929447714
0.9;0.9;0.3;64.8;35.2;23.6;30.1;5.06;16.8522631532
0.9;0.9;0.6;47.0;53.0;26.6;29.8;7.732;25.9996442864
0.9;0.9;0.9;26.2;73.8;14.4;29.57;10.79;36.4318875426
0.9;0.9;1.0;99.0;1.0;32.0;30.31;0.164;0.549370390083
0.9;0.9;9.0;51.6;48.4;31.8;29.72;6.586;22.151102236
0.9;0.9;99.0;54.8;45.2;27.2;29.99;6.514;21.7508130426
0.9;1.0;0.05;79.6;20.4;24.2;29.73;3.236;10.8967402511
0.9;1.0;0.3;70.8;29.2;24.4;29.38;4.256;14.4836782283
0.9;1.0;0.6;61.8;38.2;22.4;30.24;5.934;19.5997738321
0.9;1.0;0.9;68.4;31.6;27.2;30.3;4.76;15.6765230471
0.9;1.0;1.0;59.8;40.2;31.4;29.83;6.092;20.4118644966
0.9;1.0;9.0;69.6;30.4;16.4;29.29;4.38;14.9113606436
0.9;1.0;99.0;70.2;29.8;27.8;30.32;4.058;13.3797178876
0.9;9.0;0.05;80.6;19.4;28.0;30.25;2.846;9.35267261472
0.9;9.0;0.3;75.8;24.2;29.4;29.73;3.308;11.0880034263
0.9;9.0;0.6;69.8;30.2;28.4;29.38;4.536;15.4825084944
0.9;9.0;0.9;15.2;84.8;20.0;30.51;13.964;45.8495075352
0.9;9.0;1.0;97.8;2.2;33.0;29.69;0.346;1.14440818836
0.9;9.0;9.0;75.4;24.6;21.0;29.81;3.046;10.2196446003
0.9;9.0;99.0;74.6;25.4;28.8;29.26;3.052;10.4574672876
0.9;99.0;0.05;80.2;19.8;24.2;29.92;3.048;10.1197912731
0.9;99.0;0.3;77.0;23.0;30.0;29.59;3.482;11.7571380565
0.9;99.0;0.6;64.0;36.0;18.6;29.11;5.078;17.3939922245
0.9;99.0;0.9;19.0;81.0;18.0;30.08;12.57;41.846340221
0.9;99.0;1.0;68.0;32.0;27.0;29.96;4.93;16.4279454638
0.9;99.0;9.0;69.2;30.8;23.0;29.8;4.376;14.6493422859
0.9;99.0;99.0;72.2;27.8;18.6;30.05;4.12;13.7117496058
1.0;0.05;0.05;77.8;22.2;20.8;30.34;3.47;11.4327846178
1.0;0.05;0.3;49.2;50.8;35.2;28.94;6.812;23.5651689153
1.0;0.05;0.6;18.6;81.4;20.8;29.7;11.566;38.9688654642
1.0;0.05;0.9;5.4;94.6;11.4;29.69;15.598;52.5815266344
1.0;0.05;1.0;99.6;0.4;26.0;29.99;0.046;0.150455584533
1.0;0.05;9.0;27.8;72.2;24.2;30.63;10.482;34.2322770063
1.0;0.05;99.0;30.4;69.6;16.2;29.89;9.498;31.7214040555
1.0;0.3;0.05;77.8;22.2;24.6;29.85;3.198;10.7140901133
1.0;0.3;0.3;57.2;42.8;20.8;29.45;5.622;19.1093573358
1.0;0.3;0.6;26.6;73.4;16.8;28.98;10.6;36.6045343778
1.0;0.3;0.9;3.6;96.4;21.4;29.27;16.154;55.1962218163
1.0;0.3;1.0;0.4;99.6;11.2;29.97;17.632;58.8197093331
1.0;0.3;9.0;37.4;62.6;18.8;29.92;9.414;31.4749104221
1.0;0.3;99.0;39.6;60.4;21.4;29.69;8.724;29.4062862019
1.0;0.6;0.05;77.2;22.8;32.4;29.44;3.158;10.6982340383
1.0;0.6;0.3;54.6;45.4;22.6;29.5;6.086;20.6134406835
1.0;0.6;0.6;28.8;71.2;26.2;29.79;9.628;32.3201862281
1.0;0.6;0.9;8.0;92.0;13.4;30.16;15.406;51.034403424
1.0;0.6;1.0;98.4;1.6;25.0;29.55;0.342;1.16762611224
1.0;0.6;9.0;36.8;63.2;21.6;29.22;8.844;30.3124640896
1.0;0.6;99.0;37.4;62.6;24.8;29.59;8.254;27.8423356714
1.0;0.9;0.05;81.4;18.6;30.4;30.03;2.63;8.73090206364
1.0;0.9;0.3;67.0;33.0;31.6;30.06;4.354;14.4680671322
1.0;0.9;0.6;49.8;50.2;19.2;29.85;7.062;23.6484216568
1.0;0.9;0.9;36.8;63.2;19.0;29.95;9.526;31.7479136707
1.0;0.9;1.0;8.4;91.6;8.2;30.18;15.146;50.1031345758
1.0;0.9;9.0;57.8;42.2;30.8;29.5;6.15;20.7049196424
1.0;0.9;99.0;50.6;49.4;31.6;30.13;6.884;22.8363356014
1.0;1.0;0.05;80.8;19.2;29.6;29.52;2.608;8.81051941717
1.0;1.0;0.3;73.4;26.6;25.0;29.98;4.05;13.5049260098
1.0;1.0;0.6;68.8;31.2;26.8;30.24;4.152;13.7076748357
1.0;1.0;0.9;79.8;20.2;23.6;29.85;2.904;9.72953554736
1.0;1.0;1.0;98.8;1.2;36.0;30.11;0.212;0.705657562179
1.0;1.0;9.0;67.0;33.0;16.8;30.22;4.996;16.5667573287
1.0;1.0;99.0;67.4;32.6;30.4;30.19;4.63;15.2635100889
1.0;9.0;0.05;77.0;23.0;30.0;30.08;2.92;9.71114136965
1.0;9.0;0.3;77.4;22.6;22.8;29.56;3.122;10.5772218224
1.0;9.0;0.6;69.4;30.6;30.0;29.2;3.824;13.0280397854
1.0;9.0;0.9;16.2;83.8;16.4;30.09;13.024;43.23322721
1.0;9.0;1.0;11.4;88.6;14.4;30.28;13.918;45.865765981
1.0;9.0;9.0;77.0;23.0;30.0;30.17;3.262;10.7882942809
1.0;9.0;99.0;76.2;23.8;26.6;29.56;3.656;12.3291142841
1.0;99.0;0.05;77.8;22.2;34.2;29.49;3.094;10.5002032448
1.0;99.0;0.3;76.4;23.6;21.4;29.0;3.388;11.7213407026
1.0;99.0;0.6;74.8;25.2;25.8;29.73;3.444;11.5565017968
1.0;99.0;0.9;12.8;87.2;17.2;29.81;14.152;47.4674802496
1.0;99.0;1.0;70.4;29.6;30.0;29.75;4.082;13.756977293
1.0;99.0;9.0;74.4;25.6;30.2;30.2;3.854;12.7664896822
1.0;99.0;99.0;74.8;25.2;23.2;29.87;3.522;11.7320375458
9.0;0.05;0.05;79.6;20.4;35.8;29.49;2.668;9.02633030457
9.0;0.05;0.3;54.6;45.4;33.4;30.63;6.114;19.962378741
9.0;0.05;0.6;21.4;78.6;14.4;29.79;10.278;34.5338311322
9.0;0.05;0.9;32.8;67.2;21.2;29.91;10.45;35.3824609028
9.0;0.05;1.0;69.2;30.8;26.6;29.55;5.016;16.9391545895
9.0;0.05;9.0;30.6;69.4;18.8;30.63;9.458;30.8962785344
9.0;0.05;99.0;34.6;65.4;24.2;29.57;9.048;30.641935375
9.0;0.3;0.05;77.2;22.8;26.4;29.93;3.596;12.0182097806
9.0;0.3;0.3;54.6;45.4;27.8;30.48;6.606;21.6652752556
9.0;0.3;0.6;26.0;74.0;18.2;30.32;10.726;35.3449349848
9.0;0.3;0.9;14.6;85.4;11.6;29.93;13.582;45.4328017486
9.0;0.3;1.0;99.8;0.2;27.0;29.35;0.05;0.166389351082
9.0;0.3;9.0;35.6;64.4;16.2;29.45;8.93;30.2519796757
9.0;0.3;99.0;37.8;62.2;27.4;29.96;8.834;29.4473485518
9.0;0.6;0.05;76.4;23.6;31.0;30.53;3.43;11.208481493
9.0;0.6;0.3;55.8;44.2;25.4;30.14;5.928;19.6828599219
9.0;0.6;0.6;28.8;71.2;25.2;30.11;10.344;34.4075532383
9.0;0.6;0.9;21.6;78.4;15.6;29.86;12.956;43.1367554232
9.0;0.6;1.0;97.6;2.4;28.0;30.16;0.3;0.985596035421
9.0;0.6;9.0;39.6;60.4;18.4;29.59;8.07;27.2129505125
9.0;0.6;99.0;37.4;62.6;27.0;29.73;8.924;30.0448624296
9.0;0.9;0.05;79.4;20.6;28.0;29.63;2.9;9.749466133
9.0;0.9;0.3;65.0;35.0;19.0;30.15;4.736;15.6711338654
9.0;0.9;0.6;47.6;52.4;27.4;29.52;6.984;23.6108084384
9.0;0.9;0.9;24.2;75.8;14.8;29.71;10.956;36.8623699227
9.0;0.9;1.0;99.4;0.6;31.0;29.3;0.136;0.481378162776
9.0;0.9;9.0;53.4;46.6;19.2;29.32;6.726;22.9963238442
9.0;0.9;99.0;49.8;50.2;27.0;29.6;6.738;22.7599029926
9.0;1.0;0.05;78.8;21.2;41.4;29.94;3.434;11.47857894
9.0;1.0;0.3;75.0;25.0;29.0;29.08;3.862;13.2431181185
9.0;1.0;0.6;64.6;35.4;31.0;29.77;4.584;15.3817857643
9.0;1.0;0.9;67.4;32.6;24.0;29.75;4.608;15.4535255956
9.0;1.0;1.0;64.4;35.6;35.0;29.57;5.698;19.2825651979
9.0;1.0;9.0;68.4;31.6;26.6;29.35;4.002;13.6381690311
9.0;1.0;99.0;72.8;27.2;34.8;30.04;4.232;14.1374828876
9.0;9.0;0.05;74.8;25.2;25.0;30.24;3.748;12.4588720195
9.0;9.0;0.3;53.4;46.6;24.2;30.76;6.112;19.9032895302
9.0;9.0;0.6;20.4;79.6;19.8;30.15;11.682;38.7823095387
9.0;9.0;0.9;3.6;96.4;12.6;29.62;16.068;54.2951684445
9.0;9.0;1.0;99.6;0.4;34.0;29.38;0.116;0.404886561955
9.0;9.0;9.0;32.0;68.0;17.6;29.59;9.426;31.8180773433
9.0;9.0;99.0;31.2;68.8;26.4;29.87;8.968;29.9887930864
9.0;99.0;0.05;78.6;21.4;24.4;30.21;3.364;11.1374821937
