alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
1.0;99.0;1.0;8.0;92.0;18.0;27.85;14.37;51.5978456014
1.0;99.0;9.0;71.0;29.0;36.0;29.95;4.31;14.3906510851
1.0;99.0;99.0;73.0;27.0;21.0;30.25;4.3;14.2148760331
9.0;0.05;0.05;69.0;31.0;21.0;29.35;4.85;16.5247018739
9.0;0.05;0.3;54.0;46.0;31.0;29.1;6.64;22.8178694158
9.0;0.05;0.6;23.0;77.0;8.0;29.7;11.17;37.6094276094
9.0;0.05;0.9;14.0;86.0;21.0;28.6;13.6;47.5524475524
9.0;0.05;1.0;5.0;95.0;18.0;29.3;15.42;52.6279863481
9.0;0.05;9.0;34.0;66.0;22.0;30.05;8.65;28.7853577371
9.0;0.05;99.0;41.0;59.0;8.0;29.95;8.36;27.9131886477
9.0;0.3;0.05;76.0;24.0;21.0;29.7;3.08;10.3703703704
9.0;0.3;0.3;61.0;39.0;6.0;29.75;4.94;16.6050420168
9.0;0.3;0.6;37.0;63.0;36.0;29.45;8.03;27.2665534805
9.0;0.3;0.9;20.0;80.0;21.0;29.9;12.65;42.3076923077
9.0;0.3;1.0;14.0;86.0;7.0;31.0;15.4;49.6774193548
9.0;0.3;9.0;45.0;55.0;4.0;31.65;9.02;28.4992101106
9.0;0.3;99.0;50.0;50.0;21.0;30.5;6.91;22.6557377049
9.0;0.6;0.05;87.0;13.0;21.0;29.35;1.87;6.37137989779
9.0;0.6;0.3;51.0;49.0;35.0;30.2;5.21;17.2516556291
9.0;0.6;0.6;42.0;58.0;23.0;30.0;7.42;24.7333333333
9.0;0.6;0.9;25.0;75.0;6.0;30.1;10.89;36.1794019934
9.0;0.6;1.0;19.0;81.0;13.0;28.55;12.24;42.8721541156
9.0;0.6;9.0;34.0;66.0;13.0;29.3;8.47;28.9078498294
9.0;0.6;99.0;58.0;42.0;21.0;29.0;6.3;21.724137931
9.0;0.9;0.05;73.0;27.0;26.0;28.5;3.69;12.9473684211
9.0;0.9;0.3;64.0;36.0;26.0;30.0;4.96;16.5333333333
9.0;0.9;0.6;42.0;58.0;14.0;29.3;9.07;30.9556313993
9.0;0.9;0.9;18.0;82.0;16.0;28.95;12.79;44.1796200345
9.0;0.9;1.0;26.0;74.0;6.0;29.75;11.83;39.7647058824
9.0;0.9;9.0;50.0;50.0;26.0;29.3;6.64;22.662116041
9.0;0.9;99.0;48.0;52.0;41.0;30.3;7.95;26.2376237624
9.0;1.0;0.05;72.0;28.0;21.0;30.35;4.47;14.7281713344
9.0;1.0;0.3;65.0;35.0;21.0;30.6;4.37;14.2810457516
9.0;1.0;0.6;70.0;30.0;14.0;28.9;4.73;16.3667820069
9.0;1.0;0.9;33.0;67.0;21.0;29.65;9.29;31.3322091062
9.0;1.0;1.0;3.0;97.0;10.0;29.25;17.11;58.4957264957
9.0;1.0;9.0;67.0;33.0;46.0;31.5;4.36;13.8412698413
9.0;1.0;99.0;49.0;51.0;19.0;30.1;7.63;25.3488372093
9.0;9.0;0.05;75.0;25.0;36.0;29.55;2.44;8.25719120135
9.0;9.0;0.3;60.0;40.0;7.0;29.0;6.1;21.0344827586
9.0;9.0;0.6;34.0;66.0;22.0;28.65;8.89;31.0296684119
9.0;9.0;0.9;11.0;89.0;8.0;29.7;14.0;47.138047138
9.0;9.0;1.0;11.0;89.0;16.0;31.6;16.14;51.0759493671
9.0;9.0;9.0;41.0;59.0;30.0;30.6;7.92;25.8823529412
9.0;9.0;99.0;42.0;58.0;11.0;30.35;7.3;24.0527182867
9.0;99.0;0.05;82.0;18.0;21.0;28.45;2.6;9.1388400703
9.0;99.0;0.3;64.0;36.0;36.0;29.75;5.23;17.5798319328
9.0;99.0;0.6;29.0;71.0;26.0;29.3;10.58;36.1092150171
9.0;99.0;0.9;19.0;81.0;41.0;28.65;12.95;45.2006980803
9.0;99.0;1.0;11.0;89.0;9.0;29.3;15.11;51.5699658703
9.0;99.0;9.0;36.0;64.0;10.0;28.35;7.98;28.1481481481
9.0;99.0;99.0;43.0;57.0;27.0;30.25;7.78;25.7190082645
99.0;0.05;0.05;76.0;24.0;22.0;30.7;3.09;10.0651465798
99.0;0.05;0.3;56.0;44.0;26.0;30.45;5.01;16.4532019704
99.0;0.05;0.6;25.0;75.0;20.0;29.25;8.92;30.4957264957
99.0;0.05;0.9;13.0;87.0;28.0;30.65;14.53;47.4061990212
99.0;0.05;1.0;9.0;91.0;16.0;30.55;14.93;48.8707037643
99.0;0.05;9.0;39.0;61.0;20.0;29.85;7.83;26.2311557789
99.0;0.05;99.0;32.0;68.0;15.0;29.55;8.57;29.0016920474
99.0;0.3;0.05;78.0;22.0;21.0;30.95;3.87;12.5040387722
99.0;0.3;0.3;58.0;42.0;15.0;28.8;4.24;14.7222222222
99.0;0.3;0.6;26.0;74.0;13.0;28.6;10.78;37.6923076923
99.0;0.3;0.9;17.0;83.0;11.0;29.25;13.43;45.9145299145
99.0;0.3;1.0;15.0;85.0;6.0;30.1;14.88;49.4352159468
99.0;0.3;9.0;39.0;61.0;7.0;30.35;8.23;27.1169686985
99.0;0.3;99.0;41.0;59.0;13.0;29.1;8.18;28.1099656357
99.0;0.6;0.05;77.0;23.0;46.0;28.6;2.3;8.04195804196
99.0;0.6;0.3;55.0;45.0;26.0;30.05;5.72;19.0349417637
99.0;0.6;0.6;38.0;62.0;8.0;30.0;7.39;24.6333333333
99.0;0.6;0.9;22.0;78.0;16.0;30.15;12.88;42.71973466
99.0;0.6;1.0;20.0;80.0;17.0;30.3;13.18;43.498349835
99.0;0.6;9.0;60.0;40.0;13.0;28.95;5.59;19.3091537133
99.0;0.6;99.0;42.0;58.0;8.0;29.75;7.48;25.1428571429
99.0;0.9;0.05;79.0;21.0;29.0;29.3;2.58;8.80546075085
99.0;0.9;0.3;57.0;43.0;31.0;30.45;7.26;23.842364532
99.0;0.9;0.6;39.0;61.0;31.0;28.8;8.47;29.4097222222
99.0;0.9;0.9;14.0;86.0;8.0;30.45;14.9;48.9326765189
99.0;0.9;1.0;12.0;88.0;21.0;28.95;15.54;53.6787564767
99.0;0.9;9.0;44.0;56.0;26.0;30.8;8.74;28.3766233766
99.0;0.9;99.0;46.0;54.0;21.0;29.65;7.63;25.7335581788
99.0;1.0;0.05;73.0;27.0;36.0;29.55;3.75;12.6903553299
99.0;1.0;0.3;68.0;32.0;26.0;29.2;4.69;16.0616438356
99.0;1.0;0.6;63.0;37.0;21.0;30.65;5.33;17.3898858075
99.0;1.0;0.9;58.0;42.0;26.0;28.9;5.77;19.9653979239
99.0;1.0;1.0;1.0;99.0;19.0;29.3;14.83;50.614334471
99.0;1.0;9.0;74.0;26.0;36.0;29.7;2.93;9.86531986532
99.0;1.0;99.0;55.0;45.0;21.0;30.2;6.63;21.9536423841
99.0;9.0;0.05;81.0;19.0;36.0;31.45;3.31;10.5246422893
99.0;9.0;0.3;55.0;45.0;11.0;28.4;5.64;19.8591549296
99.0;9.0;0.6;31.0;69.0;36.0;29.4;8.74;29.7278911565
99.0;9.0;0.9;17.0;83.0;10.0;29.2;13.19;45.1712328767
99.0;9.0;1.0;15.0;85.0;15.0;29.15;13.06;44.8027444254
99.0;9.0;9.0;42.0;58.0;25.0;28.3;7.45;26.3250883392
99.0;9.0;99.0;47.0;53.0;26.0;29.05;6.7;23.0636833046
99.0;99.0;0.05;71.0;29.0;36.0;29.6;4.41;14.8986486486
99.0;99.0;0.3;62.0;38.0;36.0;29.45;4.65;15.7894736842
99.0;99.0;0.6;41.0;59.0;7.0;30.25;9.39;31.041322314
99.0;99.0;0.9;16.0;84.0;11.0;30.15;13.56;44.9751243781
99.0;99.0;1.0;11.0;89.0;16.0;29.15;14.66;50.2915951973
99.0;99.0;9.0;47.0;53.0;17.0;29.6;7.56;25.5405405405
99.0;99.0;99.0;49.0;51.0;26.0;29.3;6.61;22.5597269625
