alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;0.05;999.0;35.6;64.4;25.0;29.36;8.746;29.7483002869
0.3;0.3;0.05;73.4;26.6;23.8;30.03;4.058;13.5254827686
0.3;0.3;0.3;53.4;46.6;23.8;30.24;6.334;21.0113427087
0.3;0.3;0.6;26.2;73.8;21.6;29.44;10.22;34.7612725425
0.3;0.3;0.9;4.8;95.2;11.4;29.06;15.22;52.3838211579
0.3;0.3;1.0;1.6;98.4;15.8;30.34;17.674;58.2474318219
0.3;0.3;9.0;35.6;64.4;18.4;29.65;9.034;30.3988256671
0.3;0.3;99.0;32.4;67.6;15.0;29.96;9.654;32.1930730466
0.3;0.3;999.0;34.8;65.2;29.6;30.13;9.636;31.8802898536
0.3;0.6;0.05;78.6;21.4;26.8;30.03;3.198;10.6510516507
0.3;0.6;0.3;58.8;41.2;25.0;28.91;5.416;18.6981206375
0.3;0.6;0.6;40.0;60.0;23.6;29.13;8.262;28.3473896103
0.3;0.6;0.9;11.6;88.4;20.4;30.14;14.606;48.4414412353
0.3;0.6;1.0;4.6;95.4;15.2;29.46;15.754;53.4517690302
0.3;0.6;9.0;42.4;57.6;18.8;29.76;8.566;28.7584133582
0.3;0.6;99.0;42.8;57.2;30.4;29.65;7.77;26.2019005815
0.3;0.6;999.0;39.8;60.2;18.0;30.59;8.324;27.2011521592
0.3;0.9;0.05;77.8;22.2;19.2;29.89;3.45;11.5470567146
0.3;0.9;0.3;56.8;43.2;33.8;29.81;5.92;19.8720488077
0.3;0.9;0.6;35.4;64.6;27.2;29.59;9.2;31.0580418764
0.3;0.9;0.9;10.4;89.6;17.6;30.57;13.89;45.3959264855
0.3;0.9;1.0;8.0;92.0;15.4;30.13;15.514;51.5149534185
0.3;0.9;9.0;41.8;58.2;12.8;29.6;8.536;28.7692051937
0.3;0.9;99.0;41.0;59.0;28.0;30.21;8.49;28.0209899114
0.3;0.9;999.0;40.4;59.6;19.8;29.0;8.612;29.6705091421
0.3;1.0;0.05;77.0;23.0;27.2;28.89;3.574;12.4020846564
0.3;1.0;0.3;74.2;25.8;27.8;29.86;3.878;12.9912069133
0.3;1.0;0.6;64.8;35.2;20.6;30.27;4.826;15.9563294925
0.3;1.0;0.9;41.2;58.8;26.6;30.64;9.338;30.4997665694
0.3;1.0;1.0;0.8;99.2;10.4;29.69;17.62;59.3183581917
0.3;1.0;9.0;64.8;35.2;24.4;29.7;4.914;16.5563017586
0.3;1.0;99.0;60.0;40.0;23.8;30.32;5.312;17.4500430042
0.3;1.0;999.0;62.8;37.2;23.6;30.72;5.12;16.6109675435
0.3;9.0;0.05;77.8;22.2;24.8;29.78;2.82;9.45733612488
0.3;9.0;0.3;67.0;33.0;25.6;29.81;4.356;14.6184891679
0.3;9.0;0.6;45.0;55.0;14.4;30.24;7.472;24.708560394
0.3;9.0;0.9;17.4;82.6;15.4;29.73;13.044;43.8658964851
0.3;9.0;1.0;7.2;92.8;15.0;30.06;15.946;53.1817793273
0.3;9.0;9.0;45.6;54.4;23.2;29.25;7.018;23.9738453768
0.3;9.0;99.0;49.8;50.2;28.8;29.79;7.14;23.978544959
0.3;9.0;999.0;55.4;44.6;21.4;29.08;5.768;19.7950995764
0.3;99.0;0.05;75.8;24.2;28.0;29.97;3.752;12.4973979538
