alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;0.9;0.3;62.6;37.4;24.4;30.24;5.374;17.7396756751
0.3;0.9;0.6;40.0;60.0;28.8;29.93;8.61;28.7606457573
0.3;0.9;0.9;17.0;83.0;19.6;30.02;13.456;44.8147893325
0.3;0.9;1.0;1.4;98.6;11.0;29.71;16.878;56.8350788696
0.3;0.9;9.0;45.0;55.0;31.6;30.13;7.968;26.4405430863
0.3;0.9;99.0;44.6;55.4;22.8;29.89;8.146;27.2358254812
0.3;1.0;0.05;77.0;23.0;30.0;29.62;3.688;12.4280525691
0.3;1.0;0.3;69.6;30.4;25.4;29.51;3.958;13.4566368918
0.3;1.0;0.6;60.0;40.0;33.2;29.61;5.644;19.1563144196
0.3;1.0;0.9;44.0;56.0;25.6;29.78;8.944;30.0542069279
0.3;1.0;1.0;18.0;82.0;18.2;29.64;12.232;41.2725362284
0.3;1.0;9.0;68.0;32.0;24.0;29.54;4.868;16.5200632047
0.3;1.0;99.0;61.2;38.8;28.4;29.5;4.884;16.5323246789
0.3;9.0;0.05;77.4;22.6;35.0;30.03;3.83;12.7757476057
0.3;9.0;0.3;60.2;39.8;29.0;29.51;5.768;19.5056174065
0.3;9.0;0.6;42.0;58.0;24.4;30.27;8.326;27.4847991332
0.3;9.0;0.9;11.8;88.2;13.8;29.61;14.202;47.9091672962
0.3;9.0;1.0;1.2;98.8;13.4;29.78;17.512;58.8023241716
0.3;9.0;9.0;48.0;52.0;18.2;29.68;7.202;24.230581926
0.3;9.0;99.0;49.4;50.6;15.2;30.04;7.068;23.5778285659
0.3;99.0;0.05;79.6;20.4;25.6;29.66;3.032;10.221654224
0.3;99.0;0.3;63.8;36.2;30.2;30.06;5.04;16.7401716226
0.3;99.0;0.6;42.6;57.4;15.4;29.55;7.76;26.2676627734
0.3;99.0;0.9;13.8;86.2;13.6;30.13;13.85;45.9605893602
0.3;99.0;1.0;19.6;80.4;17.0;29.64;12.008;40.6008054491
0.3;99.0;9.0;49.0;51.0;20.4;30.01;7.426;24.7580600089
0.3;99.0;99.0;47.6;52.4;22.4;30.43;7.602;24.9297665398
0.6;0.05;0.05;76.6;23.4;30.0;30.24;3.602;11.8999686426
0.6;0.05;0.3;54.6;45.4;27.4;30.5;6.424;21.1548826528
0.6;0.05;0.6;22.0;78.0;20.4;29.71;11.306;38.0570445161
0.6;0.05;0.9;3.4;96.6;13.0;29.73;15.664;52.6832546536
0.6;0.05;1.0;1.6;98.4;19.0;29.77;15.636;52.4817625713
0.6;0.05;9.0;29.8;70.2;25.2;29.83;10.004;33.5224918163
0.6;0.05;99.0;34.8;65.2;18.2;30.12;8.63;28.6610035058
0.6;0.3;0.05;77.0;23.0;24.4;29.62;3.054;10.3350136103
0.6;0.3;0.3;50.8;49.2;30.4;29.61;6.424;21.6968448302
0.6;0.3;0.6;24.8;75.2;18.4;29.57;10.314;34.8813127564
0.6;0.3;0.9;3.2;96.8;12.6;28.94;15.508;53.5835413969
0.6;0.3;1.0;0.4;99.6;10.2;29.83;17.494;58.6591379706
0.6;0.3;9.0;39.8;60.2;20.0;29.81;8.38;28.1077266187
0.6;0.3;99.0;38.6;61.4;13.2;29.26;8.268;28.2508286471
0.6;0.6;0.05;77.8;22.2;31.4;29.72;3.648;12.2873819671
0.6;0.6;0.3;58.4;41.6;17.4;29.3;5.518;18.8061058892
0.6;0.6;0.6;32.8;67.2;27.0;29.52;9.694;32.8807142476
0.6;0.6;0.9;8.8;91.2;13.8;29.87;15.368;51.4510922438
0.6;0.6;1.0;1.8;98.2;18.2;30.21;17.398;57.5277259051
0.6;0.6;9.0;37.6;62.4;23.8;30.09;8.578;28.575025258
0.6;0.6;99.0;39.4;60.6;17.2;29.43;8.004;27.1960754426
0.6;0.9;0.05;78.0;22.0;20.0;30.31;3.368;11.0875211414
0.6;0.9;0.3;63.8;36.2;28.8;29.71;4.662;15.6736538391
0.6;0.9;0.6;42.6;57.4;21.0;29.44;7.774;26.4216587537
0.6;0.9;0.9;20.4;79.6;10.8;29.18;12.58;43.0820330369
0.6;0.9;1.0;0.8;99.2;8.2;29.68;17.332;58.3946714284
0.6;0.9;9.0;49.8;50.2;24.2;29.74;6.93;23.3090694381
0.6;0.9;99.0;53.2;46.8;19.8;29.49;6.486;21.9998172175
0.6;1.0;0.05;78.0;22.0;28.0;30.04;3.708;12.2808259039
0.6;1.0;0.3;68.6;31.4;21.8;29.7;4.462;15.0244880119
0.6;1.0;0.6;66.2;33.8;17.2;29.48;4.598;15.5823062247
0.6;1.0;0.9;52.4;47.6;16.8;29.82;7.372;24.797435724
0.6;1.0;1.0;12.0;88.0;21.0;30.3;14.594;48.176275693
0.6;1.0;9.0;66.4;33.6;23.8;29.41;4.416;14.9834441315
0.6;1.0;99.0;64.2;35.8;19.8;30.07;5.236;17.4024044729
0.6;9.0;0.05;75.4;24.6;23.2;29.36;3.924;13.3402491415
0.6;9.0;0.3;72.2;27.8;24.4;29.34;3.552;12.1018830604
0.6;9.0;0.6;51.6;48.4;25.8;29.68;6.658;22.4731217075
0.6;9.0;0.9;11.0;89.0;24.4;29.65;14.242;48.0385799028
0.6;9.0;1.0;8.0;92.0;8.2;29.36;15.16;51.59223343
0.6;9.0;9.0;61.8;38.2;29.0;29.53;5.158;17.4695812601
0.6;9.0;99.0;64.0;36.0;26.8;30.11;4.976;16.5218905165
0.6;99.0;0.05;78.4;21.6;23.2;29.74;3.36;11.3203678285
0.6;99.0;0.3;70.4;29.6;27.4;29.74;3.982;13.3670901523
0.6;99.0;0.6;45.4;54.6;26.6;29.69;7.494;25.2652886789
0.6;99.0;0.9;20.2;79.8;22.4;29.58;12.27;41.4333551056
0.6;99.0;1.0;1.0;99.0;12.4;29.64;17.354;58.5311559654
0.6;99.0;9.0;58.2;41.8;23.8;29.27;5.47;18.6714193002
0.6;99.0;99.0;60.4;39.6;25.2;29.3;5.982;20.4238216604
0.9;0.05;0.05;76.6;23.4;26.6;29.74;3.354;11.2571389598
0.9;0.05;0.3;49.2;50.8;17.6;30.0;7.06;23.5408807674
0.9;0.05;0.6;19.4;80.6;26.8;29.37;10.92;37.1872443975
0.9;0.05;0.9;3.2;96.8;8.6;30.04;16.612;55.2993411425
0.9;0.05;1.0;0.2;99.8;10.8;30.08;18.202;60.5248227845
0.9;0.05;9.0;30.4;69.6;30.2;30.33;9.368;30.863358465
0.9;0.05;99.0;28.2;71.8;16.0;29.18;9.736;33.4167204645
0.9;0.3;0.05;80.2;19.8;30.0;28.76;2.224;7.703972638
0.9;0.3;0.3;55.8;44.2;18.8;30.09;5.906;19.68223068
0.9;0.3;0.6;23.2;76.8;14.6;30.6;12.042;39.3273992726
0.9;0.3;0.9;3.2;96.8;14.4;30.4;16.474;54.2480432388
0.9;0.3;1.0;0.6;99.4;12.4;28.99;16.608;57.2963154419
0.9;0.3;9.0;36.4;63.6;20.8;29.08;8.966;30.8060358543
0.9;0.3;99.0;35.0;65.0;28.4;29.67;8.972;30.2516925257
0.9;0.6;0.05;75.2;24.8;30.0;29.95;3.734;12.4947083534
0.9;0.6;0.3;58.2;41.8;28.2;30.29;5.654;18.6975893657
0.9;0.6;0.6;29.4;70.6;14.4;29.82;9.688;32.4681925651
0.9;0.6;0.9;7.8;92.2;12.4;29.83;15.08;50.5423180922
0.9;0.6;1.0;1.6;98.4;10.4;30.09;17.0;56.4976135574
0.9;0.6;9.0;41.4;58.6;18.6;29.53;8.104;27.4501682354
0.9;0.6;99.0;38.8;61.2;25.4;29.4;8.648;29.3931953127
0.9;0.9;0.05;75.0;25.0;34.8;30.13;3.882;12.8623824139
0.9;0.9;0.3;65.2;34.8;22.8;29.25;4.53;15.4908955435
0.9;0.9;0.6;47.0;53.0;26.6;30.17;7.778;25.7974344155
0.9;0.9;0.9;30.6;69.4;27.8;29.2;10.24;34.9202669246
0.9;0.9;1.0;32.2;67.8;7.2;29.38;11.138;37.8934903489
0.9;0.9;9.0;54.4;45.6;21.8;29.43;6.452;21.9426697536
0.9;0.9;99.0;53.8;46.2;23.8;29.64;5.98;20.1888415756
0.9;1.0;0.05;79.0;21.0;27.6;29.1;2.984;10.2604148091
0.9;1.0;0.3;72.8;27.2;40.2;30.16;3.676;12.2539031986
0.9;1.0;0.6;68.2;31.8;15.4;29.66;4.304;14.5194689992
0.9;1.0;0.9;63.2;36.8;31.0;29.95;5.34;17.8241041472
0.9;1.0;1.0;15.8;84.2;15.4;29.67;12.256;41.3207347887
0.9;1.0;9.0;68.8;31.2;25.8;29.6;4.686;15.8206611459
0.9;1.0;99.0;70.6;29.4;34.2;29.53;4.466;15.0773311627
0.9;9.0;0.05;78.8;21.2;28.4;29.83;2.734;9.10718094735
0.9;9.0;0.3;77.4;22.6;27.8;29.64;3.552;11.9449968164
0.9;9.0;0.6;73.4;26.6;27.0;29.93;3.58;11.9434834453
0.9;9.0;0.9;15.6;84.4;24.2;29.49;13.188;44.7748168347
0.9;9.0;1.0;1.4;98.6;14.2;30.47;15.338;50.3579894225
0.9;9.0;9.0;71.8;28.2;29.2;29.5;4.014;13.5967385137
0.9;9.0;99.0;68.8;31.2;25.8;30.02;4.378;14.6329121631
0.9;99.0;0.05;78.6;21.4;21.4;30.02;3.052;10.1334811581
0.9;99.0;0.3;74.0;26.0;29.0;30.26;3.978;13.1168342342
0.9;99.0;0.6;63.0;37.0;26.4;29.57;4.95;16.7693730473
0.9;99.0;0.9;19.4;80.6;17.8;29.6;12.464;42.2057749224
0.9;99.0;1.0;2.4;97.6;11.8;29.73;16.828;56.5947220723
0.9;99.0;9.0;70.2;29.8;28.6;29.26;4.112;14.0661260495
0.9;99.0;99.0;67.8;32.2;18.2;29.51;4.978;16.8498272186
1.0;0.05;0.05;74.8;25.2;28.2;30.41;3.394;11.1498606976
1.0;0.05;0.3;48.4;51.6;26.6;30.24;6.508;21.5404483582
1.0;0.05;0.6;18.6;81.4;13.6;30.44;11.358;37.3288351916
1.0;0.05;0.9;2.8;97.2;12.4;29.87;15.96;53.4262781427
1.0;0.05;1.0;0.0;100.0;10.8;29.86;18.276;61.2138354511
1.0;0.05;9.0;30.0;70.0;18.8;29.75;9.544;32.0505117542
1.0;0.05;99.0;31.0;69.0;23.6;30.42;9.598;31.5712161125
1.0;0.3;0.05;74.8;25.2;21.6;29.99;3.952;13.2058103047
1.0;0.3;0.3;56.2;43.8;24.2;29.85;6.328;21.1026068652
1.0;0.3;0.6;26.4;73.6;25.2;29.97;10.758;35.8513787877
1.0;0.3;0.9;4.4;95.6;19.4;30.26;16.11;53.2559239719
1.0;0.3;1.0;0.4;99.6;10.2;29.54;17.808;60.2920984689
1.0;0.3;9.0;36.4;63.6;20.4;30.02;9.052;30.1037395495
1.0;0.3;99.0;39.2;60.8;11.8;29.3;8.568;29.248285933
1.0;0.6;0.05;75.2;24.8;24.8;29.2;3.804;13.0467430643
1.0;0.6;0.3;61.4;38.6;27.0;29.05;5.414;18.5961556695
1.0;0.6;0.6;27.0;73.0;16.4;29.91;10.368;34.6479509756
1.0;0.6;0.9;7.0;93.0;19.4;29.59;15.32;51.7791736026
1.0;0.6;1.0;2.8;97.2;8.8;29.46;16.442;55.8030501878
1.0;0.6;9.0;37.0;63.0;27.6;30.69;9.322;30.3809918875
1.0;0.6;99.0;38.6;61.4;21.4;29.49;8.346;28.28832152
1.0;0.9;0.05;79.8;20.2;21.0;29.59;2.788;9.42706167042
1.0;0.9;0.3;63.2;36.8;23.8;29.76;4.988;16.7611852248
1.0;0.9;0.6;45.2;54.8;33.0;30.45;7.936;26.070675352
1.0;0.9;0.9;31.8;68.2;32.8;29.66;10.336;34.9473222939
1.0;0.9;1.0;1.2;98.8;10.0;30.24;17.166;56.8152123166
1.0;0.9;9.0;54.2;45.8;22.0;29.04;6.212;21.4265442042
1.0;0.9;99.0;52.4;47.6;22.2;29.94;6.55;21.8777436316
1.0;1.0;0.05;78.0;22.0;27.0;30.25;3.448;11.4273525201
1.0;1.0;0.3;73.4;26.6;26.2;29.76;3.7;12.4282118467
1.0;1.0;0.6;70.2;29.8;27.2;29.78;4.422;14.8223867025
1.0;1.0;0.9;73.0;27.0;27.0;29.31;3.744;12.7721437924
1.0;1.0;1.0;1.2;98.8;11.8;29.63;16.932;57.15007256
1.0;1.0;9.0;69.6;30.4;25.8;29.64;3.928;13.2658076497
1.0;1.0;99.0;69.4;30.6;20.2;30.27;4.718;15.617481241
1.0;9.0;0.05;79.4;20.6;25.8;30.28;3.404;11.2046951742
1.0;9.0;0.3;79.6;20.4;29.4;29.33;2.69;9.16772241327
1.0;9.0;0.6;73.4;26.6;29.4;29.89;3.57;11.9903440373
1.0;9.0;0.9;19.0;81.0;17.6;30.19;12.282;40.6746727729
1.0;9.0;1.0;1.8;98.2;13.8;30.05;18.152;60.4427664204
1.0;9.0;9.0;75.4;24.6;30.8;29.86;3.61;12.0359011685
1.0;9.0;99.0;76.6;23.4;22.4;29.88;3.202;10.6596983841
1.0;99.0;0.05;81.6;18.4;33.0;29.87;2.744;9.21109359609
1.0;99.0;0.3;75.4;24.6;20.6;29.68;3.594;12.1512884703
1.0;99.0;0.6;70.8;29.2;21.8;30.59;4.2;13.6866383071
1.0;99.0;0.9;18.6;81.4;17.4;29.2;12.358;42.3356026213
1.0;99.0;1.0;0.6;99.4;10.2;29.79;17.346;58.2616868916
1.0;99.0;9.0;73.4;26.6;28.2;29.56;3.542;11.9710120435
1.0;99.0;99.0;74.0;26.0;23.4;29.63;3.492;11.7973567604
9.0;0.05;0.05;74.6;25.4;24.0;30.5;3.82;12.474860388
9.0;0.05;0.3;51.4;48.6;24.0;29.78;6.354;21.3290571592
9.0;0.05;0.6;17.0;83.0;15.6;30.2;11.876;39.3899559484
9.0;0.05;0.9;2.6;97.4;12.0;29.8;16.74;56.178256897
9.0;0.05;1.0;0.2;99.8;6.8;29.69;17.18;57.8545926992
9.0;0.05;9.0;27.8;72.2;14.4;29.54;9.544;32.3780479245
9.0;0.05;99.0;29.8;70.2;20.8;29.19;9.892;33.9052568007
9.0;0.3;0.05;74.4;25.6;23.2;29.71;3.944;13.271625213
9.0;0.3;0.3;53.6;46.4;25.4;30.12;6.506;21.5948955022
9.0;0.3;0.6;21.2;78.8;17.2;30.05;10.816;35.9638721585
9.0;0.3;0.9;3.2;96.8;11.4;29.59;15.76;53.2734584479
9.0;0.3;1.0;0.8;99.2;15.6;30.24;17.536;58.0117244108
9.0;0.3;9.0;32.4;67.6;18.0;30.28;9.34;30.8218864725
9.0;0.3;99.0;35.4;64.6;26.4;29.75;9.012;30.2648255728
9.0;0.6;0.05;76.6;23.4;32.0;29.76;3.558;11.916150858
9.0;0.6;0.3;54.8;45.2;24.0;30.12;6.342;21.0513032376
9.0;0.6;0.6;30.4;69.6;22.2;29.97;9.642;32.2511640321
9.0;0.6;0.9;6.8;93.2;12.2;29.46;15.132;51.3964654428
9.0;0.6;1.0;1.8;98.2;17.6;30.28;16.806;55.4915210144
9.0;0.6;9.0;39.6;60.4;24.4;29.69;8.312;28.0120431618
9.0;0.6;99.0;40.8;59.2;22.4;29.96;8.294;27.7181466665
9.0;0.9;0.05;77.0;23.0;33.0;30.14;3.034;10.0468531226
9.0;0.9;0.3;62.8;37.2;22.0;29.92;5.078;16.9769273533
9.0;0.9;0.6;47.8;52.2;28.8;30.24;6.876;22.7865601609
9.0;0.9;0.9;22.6;77.4;23.4;29.55;12.056;40.8412701581
9.0;0.9;1.0;2.0;98.0;10.8;30.28;17.658;58.2918639989
9.0;0.9;9.0;55.6;44.4;16.2;29.73;6.042;20.2864432705
9.0;0.9;99.0;55.2;44.8;20.8;29.94;6.522;21.7662040966
9.0;1.0;0.05;81.2;18.8;39.0;30.46;3.14;10.373133947
9.0;1.0;0.3;76.2;23.8;29.0;29.6;4.034;13.6542363454
9.0;1.0;0.6;64.4;35.6;24.8;30.23;5.328;17.5952967541
9.0;1.0;0.9;58.0;42.0;15.6;29.53;5.876;20.1083302805
9.0;1.0;1.0;0.8;99.2;10.8;29.85;17.196;57.626120445
9.0;1.0;9.0;63.6;36.4;22.0;29.76;5.066;17.0254356806
9.0;1.0;99.0;64.6;35.4;37.0;30.51;5.402;17.7621816359
9.0;9.0;0.05;74.2;25.8;19.2;29.73;4.028;13.525428184
9.0;9.0;0.3;51.2;48.8;25.0;29.61;6.022;20.3707827075
9.0;9.0;0.6;21.6;78.4;18.2;29.79;11.566;38.8512886991
9.0;9.0;0.9;3.2;96.8;14.8;30.22;15.878;52.4986565932
9.0;9.0;1.0;0.6;99.4;11.6;29.32;17.468;59.5647763532
9.0;9.0;9.0;32.8;67.2;22.0;29.35;8.894;30.2712685431
9.0;9.0;99.0;32.2;67.8;29.2;29.67;9.032;30.513468741
9.0;99.0;0.05;78.2;21.8;23.8;28.65;2.982;10.4294543501
9.0;99.0;0.3;54.4;45.6;26.4;29.94;6.194;20.5843351548
9.0;99.0;0.6;28.4;71.6;18.8;29.7;10.196;34.3515149962
9.0;99.0;0.9;6.4;93.6;14.6;29.98;15.522;51.7751895558
9.0;99.0;1.0;0.8;99.2;17.8;30.26;17.652;58.3740770209
9.0;99.0;9.0;33.6;66.4;20.0;30.41;9.294;30.5490543587
9.0;99.0;99.0;32.8;67.2;22.6;29.46;9.236;31.3155930511
99.0;0.05;0.05;77.0;23.0;24.8;29.64;3.354;11.3217597351
99.0;0.05;0.3;49.8;50.2;28.6;29.71;6.654;22.3595792653
99.0;0.05;0.6;18.6;81.4;18.4;30.23;11.942;39.4848378562
99.0;0.05;0.9;3.4;96.6;9.8;30.1;16.294;54.1421403542
99.0;0.05;1.0;0.4;99.6;11.8;29.18;17.696;60.6375234678
99.0;0.05;9.0;25.8;74.2;14.2;30.13;10.662;35.4131435041
99.0;0.05;99.0;31.2;68.8;21.4;29.74;9.536;32.1014927337
99.0;0.3;0.05;78.0;22.0;23.8;29.79;3.246;10.8854021626
99.0;0.3;0.3;54.4;45.6;22.6;30.49;6.982;22.9695456551
99.0;0.3;0.6;20.2;79.8;14.8;30.28;11.318;37.3928662111
99.0;0.3;0.9;2.8;97.2;11.2;30.44;16.258;53.4212782333
99.0;0.3;1.0;2.4;97.6;11.2;29.87;15.89;53.1919581231
99.0;0.3;9.0;31.4;68.6;19.2;30.1;9.368;31.0768562301
99.0;0.3;99.0;33.0;67.0;20.6;30.02;9.322;31.0454592114
99.0;0.6;0.05;77.4;22.6;25.4;29.88;3.37;11.2811662317
99.0;0.6;0.3;60.2;39.8;26.4;29.82;5.574;18.6521152338
99.0;0.6;0.6;34.2;65.8;19.2;29.24;8.78;30.068255989
99.0;0.6;0.9;4.2;95.8;15.0;29.54;15.648;52.9776051684
99.0;0.6;1.0;1.2;98.8;10.0;29.82;17.086;57.2560851951
99.0;0.6;9.0;35.6;64.4;24.8;29.54;9.146;30.9252223544
99.0;0.6;99.0;38.2;61.8;19.8;30.12;8.602;28.4917543212
99.0;0.9;0.05;74.6;25.4;27.0;30.18;3.968;13.1559430618
99.0;0.9;0.3;60.4;39.6;24.2;30.14;5.75;19.0744761065
99.0;0.9;0.6;50.2;49.8;21.8;29.27;7.1;24.2410521527
99.0;0.9;0.9;30.2;69.8;16.0;30.17;11.614;38.3603998262
99.0;0.9;1.0;4.6;95.4;10.2;29.75;15.542;52.2086286014
99.0;0.9;9.0;53.0;47.0;16.4;29.64;6.36;21.4364533332
99.0;0.9;99.0;49.6;50.4;16.6;30.28;7.294;24.0168351746
99.0;1.0;0.05;76.8;23.2;24.2;29.41;3.414;11.5986494326
99.0;1.0;0.3;73.4;26.6;28.0;29.91;3.848;12.8426839493
99.0;1.0;0.6;61.8;38.2;30.0;29.99;5.91;19.7679015876
99.0;1.0;0.9;56.2;43.8;22.0;29.96;6.534;21.6981932393
99.0;1.0;1.0;7.8;92.2;22.0;30.3;15.586;51.4479166554
99.0;1.0;9.0;59.6;40.4;25.6;29.84;5.87;19.5852822627
99.0;1.0;99.0;62.8;37.2;28.6;29.62;5.0;16.822156092
99.0;9.0;0.05;74.2;25.8;23.0;29.91;3.566;11.9458875261
99.0;9.0;0.3;52.8;47.2;18.8;29.81;6.284;21.0716898549
99.0;9.0;0.6;27.8;72.2;18.0;28.74;9.874;34.3395841532
99.0;9.0;0.9;3.2;96.8;11.2;29.99;16.204;54.0074187837
99.0;9.0;1.0;0.6;99.4;8.8;29.75;17.718;59.5184694198
99.0;9.0;9.0;32.6;67.4;14.8;29.0;9.51;32.7949458536
99.0;9.0;99.0;32.6;67.4;17.6;29.8;8.952;30.0302344503
99.0;99.0;0.05;75.6;24.4;29.6;30.46;3.53;11.5916532221
99.0;99.0;0.3;55.4;44.6;20.8;30.1;6.176;20.4928616573
99.0;99.0;0.6;25.6;74.4;24.4;29.91;11.134;37.1626420378
99.0;99.0;0.9;4.6;95.4;11.6;29.37;15.322;52.1859462605
99.0;99.0;1.0;3.0;97.0;12.6;30.04;14.832;49.3474994334
99.0;99.0;9.0;32.6;67.4;22.2;30.17;9.38;31.1074979823
99.0;99.0;99.0;36.2;63.8;22.4;29.78;8.25;27.7137087844
