alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.05;0.05;0.05;74.6;25.4;23.2;30.24;3.77;12.4535813
0.05;0.05;0.3;53.6;46.4;33.8;29.35;5.824;19.7287061841
0.05;0.05;0.6;24.6;75.4;36.0;29.84;10.218;34.237380135
0.05;0.05;0.9;8.8;91.2;10.0;30.23;15.11;49.8409724706
0.05;0.05;1.0;6.6;93.4;11.2;29.44;16.244;55.2761854323
0.05;0.05;9.0;33.6;66.4;21.0;30.11;9.116;30.2278379109
0.05;0.05;99.0;31.0;69.0;24.0;29.52;9.318;31.5313630003
0.05;0.3;0.05;73.8;26.2;27.0;29.98;4.012;13.3940285594
0.05;0.3;0.3;58.0;42.0;27.2;29.86;5.71;19.0674945301
0.05;0.3;0.6;28.2;71.8;19.0;29.88;9.866;33.0104438636
0.05;0.3;0.9;9.2;90.8;9.6;30.07;15.096;50.2599045419
0.05;0.3;1.0;8.4;91.6;9.8;29.84;15.922;53.2384501788
0.05;0.3;9.0;36.8;63.2;17.4;29.18;8.64;29.6209994068
0.05;0.3;99.0;35.2;64.8;18.4;29.58;7.962;26.9089361085
0.05;0.6;0.05;75.6;24.4;25.6;29.62;3.798;12.8018811099
0.05;0.6;0.3;61.8;38.2;28.4;29.28;5.536;18.9589155718
0.05;0.6;0.6;37.4;62.6;12.4;28.97;8.43;29.148627573
0.05;0.6;0.9;18.8;81.2;22.2;30.5;12.916;42.5922722758
0.05;0.6;1.0;11.8;88.2;17.2;29.77;14.124;47.2838307236
0.05;0.6;9.0;44.6;55.4;14.8;30.1;7.602;25.2550547429
0.05;0.6;99.0;43.6;56.4;27.2;30.07;7.852;26.1603519081
0.05;0.9;0.05;76.2;23.8;27.8;29.34;3.406;11.5839757078
0.05;0.9;0.3;60.2;39.8;19.0;29.82;5.31;17.7775526716
0.05;0.9;0.6;37.6;62.4;22.6;30.19;9.024;29.8923601362
0.05;0.9;0.9;11.0;89.0;18.6;29.31;14.336;48.9161927984
0.05;0.9;1.0;4.4;95.6;11.6;30.06;15.846;52.6911874954
0.05;0.9;9.0;44.0;56.0;26.2;29.79;7.626;25.6644652585
0.05;0.9;99.0;44.0;56.0;31.0;29.62;7.976;26.9346409453
0.05;1.0;0.05;77.8;22.2;24.8;29.53;3.078;10.3799689372
0.05;1.0;0.3;58.4;41.6;29.4;30.32;5.954;19.5427446341
0.05;1.0;0.6;23.6;76.4;15.4;29.98;11.178;37.2621671328
0.05;1.0;0.9;2.6;97.4;13.0;29.59;16.496;55.7430269302
0.05;1.0;1.0;3.2;96.8;15.4;29.62;14.93;50.4207398246
0.05;1.0;9.0;37.6;62.4;20.0;29.33;8.61;29.3558586121
