alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;0.9;0.05;76.6;23.4;31.0;29.51;3.314;11.2067465966
0.3;0.9;0.3;59.6;40.4;25.2;29.31;5.218;17.8166945965
0.3;0.9;0.6;35.2;64.8;22.2;30.44;9.104;29.9259751283
0.3;0.9;0.9;17.6;82.4;20.4;30.5;13.202;43.1877272722
0.3;0.9;1.0;1.4;98.6;15.8;29.65;16.602;56.0090621886
0.3;0.9;9.0;47.6;52.4;20.2;29.41;7.53;25.5864423599
0.3;0.9;99.0;47.6;52.4;20.2;30.07;7.526;25.0072989535
0.3;1.0;0.05;80.4;19.6;24.0;29.39;2.792;9.49073445142
0.3;1.0;0.3;69.0;31.0;17.2;29.89;4.35;14.5406970612
0.3;1.0;0.6;57.2;42.8;26.2;29.71;5.798;19.4803610062
0.3;1.0;0.9;36.4;63.6;25.0;29.69;9.706;32.6410844743
0.3;1.0;1.0;10.2;89.8;10.8;30.18;15.528;51.4056750052
0.3;1.0;9.0;70.8;29.2;29.2;29.98;3.924;13.0978164147
0.3;1.0;99.0;66.6;33.4;22.0;29.75;4.882;16.4278328791
0.3;9.0;0.05;74.6;25.4;26.8;30.05;4.154;13.869481911
0.3;9.0;0.3;64.6;35.4;21.6;29.55;4.886;16.4973976812
0.3;9.0;0.6;42.4;57.6;25.2;29.87;8.14;27.2122958207
0.3;9.0;0.9;11.8;88.2;10.0;29.0;13.526;46.6336089678
0.3;9.0;1.0;1.4;98.6;18.0;29.43;15.054;51.1517343783
0.3;9.0;9.0;55.2;44.8;30.4;29.32;6.16;20.9346468231
0.3;9.0;99.0;51.8;48.2;22.0;29.53;6.97;23.6000378412
0.3;99.0;0.05;75.8;24.2;21.2;29.67;3.25;10.9471082508
0.3;99.0;0.3;63.8;36.2;31.0;30.03;4.936;16.455120096
0.3;99.0;0.6;41.0;59.0;25.2;30.26;8.304;27.5125316953
0.3;99.0;0.9;21.6;78.4;20.0;29.91;12.162;40.7029478754
0.3;99.0;1.0;34.6;65.4;23.0;29.8;10.926;36.6289289431
0.3;99.0;9.0;52.0;48.0;18.6;29.58;6.534;22.0134688168
0.3;99.0;99.0;42.6;57.4;16.0;29.97;7.994;26.71468628
0.6;0.05;0.05;77.0;23.0;25.0;30.08;2.95;9.78763645157
0.6;0.05;0.3;51.4;48.6;24.6;29.96;6.152;20.4975116611
0.6;0.05;0.6;19.0;81.0;13.6;29.3;11.266;38.4689077881
0.6;0.05;0.9;0.8;99.2;17.0;29.34;16.582;56.5015055201
0.6;0.05;1.0;1.4;98.6;10.4;30.34;15.986;52.7232775348
0.6;0.05;9.0;29.6;70.4;15.4;29.79;10.004;33.5873677147
0.6;0.05;99.0;29.2;70.8;25.2;30.37;10.05;33.0536346376
0.6;0.3;0.05;74.4;25.6;21.0;30.13;3.362;11.1596810735
0.6;0.3;0.3;54.8;45.2;25.0;29.74;5.962;20.0402152577
0.6;0.3;0.6;25.8;74.2;16.6;29.52;10.278;34.8366284609
0.6;0.3;0.9;4.2;95.8;15.8;29.02;15.588;53.7028522571
0.6;0.3;1.0;0.6;99.4;10.2;30.22;17.788;58.8616233722
0.6;0.3;9.0;32.8;67.2;31.0;29.73;9.196;30.9337270799
0.6;0.3;99.0;31.8;68.2;19.8;29.96;9.512;31.8022730153
0.6;0.6;0.05;75.8;24.2;24.6;29.61;3.366;11.342687197
0.6;0.6;0.3;54.0;46.0;31.8;29.37;5.908;20.108543121
0.6;0.6;0.6;29.8;70.2;14.0;30.42;10.25;33.7491439557
0.6;0.6;0.9;12.8;87.2;12.4;29.65;14.746;49.7804129484
0.6;0.6;1.0;0.6;99.4;12.2;29.76;17.578;59.085876196
0.6;0.6;9.0;42.4;57.6;27.0;29.71;8.254;27.7747828423
0.6;0.6;99.0;39.0;61.0;24.4;30.01;8.302;27.7246332986
0.6;0.9;0.05;77.4;22.6;24.8;30.41;3.478;11.4037370468
0.6;0.9;0.3;61.0;39.0;25.0;29.97;5.142;17.1400511989
0.6;0.9;0.6;41.2;58.8;23.2;29.19;8.446;29.0111477313
0.6;0.9;0.9;24.8;75.2;17.0;29.56;11.66;39.3725294168
0.6;0.9;1.0;1.8;98.2;14.4;29.38;17.38;59.160330499
0.6;0.9;9.0;47.2;52.8;25.4;29.05;7.19;24.6519743793
0.6;0.9;99.0;48.8;51.2;23.0;29.75;6.848;23.0050819646
0.6;1.0;0.05;80.4;19.6;26.0;30.31;2.974;9.81081482694
0.6;1.0;0.3;69.0;31.0;27.6;29.91;4.216;14.0653687728
0.6;1.0;0.6;71.4;28.6;20.6;29.25;4.09;14.0905567408
0.6;1.0;0.9;67.2;32.8;16.4;29.63;4.792;16.2520630445
0.6;1.0;1.0;17.8;82.2;16.0;29.63;12.222;41.1808329859
