alpha;gamma;epsilon;no_success;success;steps
1.0;0.9;0.05;77.6;22.4;28.0
1.0;0.9;0.3;66.6;33.4;28.8
1.0;0.9;0.6;48.6;51.4;15.8
1.0;0.9;0.9;27.8;72.2;20.8
1.0;0.9;1.0;2.0;98.0;13.0
1.0;1.0;0.05;80.8;19.2;21.4
1.0;1.0;0.3;72.6;27.4;27.6
1.0;1.0;0.6;65.8;34.2;24.4
1.0;1.0;0.9;69.0;31.0;20.0
1.0;1.0;1.0;1.6;98.4;10.8
