alpha;gamma;epsilon;no_success;success;steps
1;0.05;1;0.8;99.2;13.4
1;0.3;1;2.6;97.4;11.4
1;0.6;1;4.8;95.2;13.0
1;0.9;1;7.6;92.4;12.2
1;1.0;1;1.0;99.0;12.0
